year,United-Arab-Emirates,Argentina,Australia,Bahrain,Brazil,Czech,Denmark,Egypt,Spain,France,United-Kingdom,Ghana,Hungary,India,Iraq,Italy,Jordan,Japan,Kenya,Korea,Kuwait,Lebanon,Mauritius,Malawi,Malaysia,Nigeria,Norway,New-Zeland,Oman,Palestine,Qatar,Russian,Saudi-Arabia,Seychelles,Singapore,Syrian,Thailand,Turkey,Uganda,USA,Uruguay,Middle,Yemen,South,Zambia,Zimbabwe
2016,,,,,,,,,,,,,,,,,,,,32982536.0,,,,,,,,,,,,,,,,,223927.210771,34634.9925323,,,,10060.7169485,,,,
2015,,,76496.2248095,8686.00993415,37113.4815254,399086.656076,,45416.1672445,,,,,,,,,,,,32304968.0,,,,,,,,,,,,643350.260535,,,,,214121.560052,34293.839454500005,,,,9990.55389089,,,,
2014,,,75941.7544205,,39518.882833699994,377301.347352,,,,35777.836,32403.920127200003,,,,,,,,,31827440.0,,16465825.2341,,,,,,63744.7109375,,,,673909.2806020001,,,79168.0078125,,209758.606822,33889.6490851,,67454.5059401,,9874.23746808,,,,
2013,,,75788.2791052,,42218.1025811,370644.531755,,,,35566.77,32151.775152,,,139758.528611,,,5631.91462668,,,31432330.0,14982.984681900001,16934250.3947,,,,,,62219.88671880001,,,,670470.803252,,,78772.21875,,207294.237941,33620.1444789,,66210.5268676,,9795.62855845,,,,
2012,,,75230.5537975,,40562.3134057,374243.579835,,43565.1520807,22849.8085938,35468.711,31886.933118,,,134295.20098,,,,,,31081460.0,,18671753.5309,,,46884.5742188,,,60186.8125,,,254851.215558,673087.474626,,,76919.3671875,,209108.68926800002,33069.50423409999,,65976.0226685,496473.125,9762.09469479,,119600.34375,,
2011,,,73015.12743169999,,39976.691835000005,372776.072098,,,23393.4863281,36061.914,32251.3618153,,,131326.257777,,,,,,30783720.0,,19971710.1304,370301.96875,,47021.0585938,,688273.610625,59428.9375,,24956.318099400003,,652897.963474,,,76678.109375,,203150.645908,33179.7350215,,64269.200448899996,507334.84375,9807.08855256,,120499.58593800002,,
2010,,,72050.6597725,,38894.4990315,365771.867593,392478.83462,43612.4659252,23905.578125,35479.234,32092.1786625,,,124478.00176400002,,,5838.92371755,3768919.52755,,30157582.0,,20216819.3995,361516.4375,,44296.5,,690661.163947,58089.15234380001,7634.57508889,22819.2148012,,607258.461555,,,74006.5625,,200323.157158,30993.4071199,,63042.786235800006,480214.75,9444.82622674,,117641.94531199998,,
2009,141506.753713,,72502.51969680001,,37271.5465998,360838.11938499997,379210.825518,,23967.6308594,34822.23,32462.4387013,,,116251.268522,,29101.6963384,,3575313.91552,,28209204.0,,19876817.4295,373161.21875,,40326.8203125,,689184.829761,58510.1640625,,,,581951.5541569999,,,65025.33984380001,,188441.109798,28678.9496537,,61245.83605569999,460021.1875,9300.58698332,,113840.38281199998,,
2008,,,72628.9520985,,38209.6631671,391976.777873,403516.263866,45179.0506196,24997.4023438,36570.367,34231.6186948,,3081257.0,111871.695283,,31008.097683300002,6399.23549391,3841249.84959,,28710644.0,,19389729.9056,380294.9375,,46610.9296875,,721478.716325,57376.07421880001,,22423.7053318,,643360.8969159999,114736.168392,,68300.515625,,192383.791512,31327.4514116,,63818.896315900005,,9844.11084485,,115500.484375,,
2007,,,71211.25134489998,,37439.3511504,388743.724761,404954.042809,,25332.9824219,36999.23,34288.9074805,,3099583.0,108729.59570399999,5598165.27433,32150.678960100002,,3947238.88539,,28661158.0,21741.1817602,18381601.643,371547.53125,,42862.1289062,,729504.1978109999,59067.12109380001,,21914.5044819,256103.97169099998,618812.705475,,,69442.390625,,194079.605168,31856.761652700003,,65104.480227,,9825.25953496,,114292.07031199998,,
2006,,,70447.9935318,,35849.8668271,372723.26424299995,409248.709927,,25158.3027344,36443.32,34188.421032700004,,3226617.25,100868.621512,,32030.201574400002,6067.49272455,3877808.53983,,27387746.0,,16717243.8909,350382.90625,,40124.421875,,724026.899215,57379.1796875,,20732.354776,,567971.41499,,,65215.98046880001,,184995.158279,30987.4162235,,65750.7553345,,9620.34158099,922374.540682,111909.921875,,
2005,,,69667.9399256,11891.0736299,35184.1757366,356708.010871,392487.74840100005,,24768.0214844,35868.926,33613.4012286,,3141402.75,94205.5799136,,31471.000866100003,,3814791.1763199996,,26266740.0,,16856457.6788,353124.28125,,38177.6601562,,717787.7452189999,57453.96484380001,,21910.5493275,,524608.5482579999,,,61605.14453119999,,176576.493997,29567.436421599996,,64057.817951100005,,9222.72877477,,107516.375,,
2004,,205975.625,69385.5029349,,34893.6807667,335078.034073,375944.739795,38516.8742508,24582.0058594,35554.625,32918.1448085,,3054267.25,88560.7104875,,31372.905161299997,,3753139.8177400003,,25715198.0,,,350814.84375,,34896.4140625,,690192.686857,57641.41015619999,,19519.316939400003,,494273.109808,,,59138.08984380001,1448308.69982,172984.42221400002,27648.175802099995,,62585.943654999995,,8978.14283757,,103848.9375,,
2003,,190837.796875,67226.1914782,,33533.272948699996,323204.76731100003,360331.242516,,24424.8164062,34812.687999999995,32519.572318199997,,2955513.5,83411.0113786,,31094.1804942,,3657859.3617800004,,24804558.0,,,334841.3125,,32168.5625,,664880.133859,56819.9765625,,,,450127.330424,,,55630.12109380001,,164388.216112,25594.2378252,,60725.4950875,,8464.85498573,,99598.5234375,,
2002,,173787.0,66024.9643138,,33939.047702200005,312218.250372,358119.756637,,24136.5097656,34821.496,31276.3396135,,2795172.0,79852.2176427,,31301.368270099996,5177.274375,3605331.10575,,24579070.0,,,316825.09375,,30414.958984400004,,657689.23819,54776.796875,,,,426564.9842,,,55290.33203119999,,154985.251353,24913.6660098,,59797.038069500006,,8359.98303711,,99176.1015625,,
2001,,211421.328125,64269.1731369,,33866.3817908,309541.41425100004,355563.935773,,23949.4257812,35162.777,30707.1768218,,2559666.0,78517.5274042,,31531.551207200002,,3627663.91264,,23057706.0,,,315968.21875,,28949.667968799997,,652533.121414,53691.86328119999,,,,407388.643871,,,54907.2578125,,146683.502198,,,59815.01108990001,,8529.15058938,,98240.828125,,
2000,,225929.609375,64209.80293740001,,,302456.893966,352219.390014,,23514.9550781,34928.727,30221.211225200004,,2439494.75,77605.7327589,,31053.965115499996,,3629916.4788300004,,22556998.0,,,305747.875,,30589.1171875,,633533.039176,51311.0117188,,,,382399.794098,,,57825.15234380001,,,,,60048.232506500004,,8915.61615845,,98357.3671875,,
1999,,231501.359375,62297.2949939,,,293872.797127,343203.804092,37893.139693900004,22630.5839844,34022.312999999995,29741.659684500002,,2310995.0,75701.6887364,,30117.6676147,,3552354.39421,,20948210.0,,,290955.5625,,27032.931640599996,,608798.040256,51061.4921875,,,,340517.069979,,,54271.05078119999,,,,,58154.4368214,,8780.60757829,,97035.703125,,
1998,283359.50633299997,244913.78125,60246.72158990001,,,295884.403707,333760.82139299996,,22404.4492188,32836.793,28778.296966600003,,2285684.0,72479.1985786,,29658.355773799998,,3607137.71145,,18895036.0,,,289415.25,,27955.466796900004,,596146.884253,50086.1484375,,30933.8289232,,303062.883377,,,52389.4023438,,,,,56371.402773099995,,9163.89636718,,98607.6328125,,
1997,,240005.953125,58373.732049800004,,,300382.982004,327376.97852199996,,21540.421875,31780.457000000002,27785.1997848,,2199701.25,74352.56964500001,,29345.3644093,,3714797.9272800004,,21103538.0,,,284259.0,,30361.191406200003,,589274.6862479999,49763.7539062,,26323.715404799997,,325038.581001,,,55628.09375,,,,,54175.8818913,,9028.326906799999,,101662.78125,,
1996,,,56585.968210399995,,,310593.703251,318305.94303200004,,20845.2792969,31043.472999999998,27082.227329,,2120168.25,72843.53606010001,,28787.9651547,,3735220.50572,,20472754.0,,,271934.28125,,29303.779296900004,,558788.767994,48759.2890625,,23659.034602300002,,318877.91924899997,,,52403.2382812,,,,,52156.8969135,,8828.43575826,,101788.804688,,
1995,,,54920.123276900005,12740.9947734,,301444.823897,309450.224985,,20527.7617188,30602.754,26505.847128999998,,2185806.5,70725.95218239998,,28475.025242900003,,3630957.78826,,19486228.0,,,265186.4375,,27614.619140599996,,529917.22727,48387.8398438,,,,287294.877331,,,50271.3398438,,,,,50433.665838,,8747.74474909,,98762.2890625,,
1994,,,53830.6253216,,,296340.958506,303812.76902,,19799.2832031,30126.604,25759.9382434,,2109635.25,68023.70068689999,,27573.0862301,,3539084.4483800004,,18467238.0,,,261507.171875,,26042.2480469,,507118.831542,47349.4726562,,,,339875.071727,,,49763.2539062,,,23870.8229228,,49353.3068099,,8564.23133064,,99590.734375,,
1993,,,52474.93334719999,,,288186.97562,290114.138029,,19736.640625,29704.811,24969.090464200002,,2040556.625,65328.945151,,27215.8956851,,3559338.60975,,17231358.0,,,256457.8125,,24827.9375,,480534.325489,46067.40625,,,,413322.652094,,,45096.6953125,,,,,47763.7335091,,8879.56553959,,99008.1484375,,
1992,,,50768.8238863,,,285364.122065,291834.833006,,20435.1875,30214.07,24305.4150699,,2076545.625,62006.8438352,,27736.176127,4498.84447246,3617648.3760800003,,16546875.0,,,252492.359375,,23219.8457031,,471977.545966,44474.3515625,,,,464525.549913,,,42995.3476562,,,,,47302.9619014,,8826.75564761,,99743.4609375,,
1991,,,51213.976119599996,,,,284084.3812,,20447.984375,29964.332000000002,24112.3085313,,,62299.693678400006,,28074.2117677,,3660083.92609,,16122327.0,,,243766.171875,,22726.9648438,,453797.525582,45196.125,,,,576167.776364,,,41127.2148438,,,,,46248.058434800005,,8593.57536611,,104658.539062,,
1990,,,52778.517475199995,,,,283551.302514,,20120.109375,30166.016,24632.1730127,,,63504.6706284,,27970.757414300002,,3618983.2078,,14900459.0,,,217124.875,,21758.8457031,,443077.73431400006,46799.2578125,,,,549542.199491,,,40510.953125,,,,,47075.8390506,,8699.693011,,107791.578125,,
1989,,,52441.895359500006,,,,281482.682599,,19492.7382812,29669.783,,,,61037.1937592,,27845.1318525,,3470469.03101,,14024653.0,,,219270.75,,20121.9746094,,436184.246175,48603.3828125,,,,564736.38767,,,38084.9492188,,,,,46971.0615551,,,,111347.375,,
1988,,,51740.3661328,,,,282184.893751,,18496.7714844,28781.359,,,2578543.75,57217.0128795,,27250.8393843,,3347112.34902,,13393172.0,,,211685.0,,18784.3046875,,436127.490419,49651.1328125,,,,561597.885848,,,35270.8085938,,,,,46300.3228281,,,,112667.83593800002,,
1987,,,49820.0212571,,,,287749.705921,,17647.5996094,27738.615,,,,54940.6422081,,26350.2609326,,3155107.0929799997,,12250708.0,,,214464.1875,,17305.0683594,,452554.865646,47973.3359375,,,,,,,32272.449218799997,,,,,44389.7057503,,,,110559.41406199998,,
1986,,,49951.1236473,,,,289805.328987,,16597.6679688,27230.896,,,2423315.5,54194.206384599995,,25695.8640001,,3069908.11394,,11097904.0,,,180768.640625,,15713.927734399998,,452392.17488400004,46297.8789062,,,,,,,30572.013671900004,,,,,42979.1191265,,,,108999.89843800002,,
1985,,,49309.538340900006,,,,273785.816496,,15995.3740234,26636.467,,,,54023.09775469999,,25181.2437341,,3031497.23628,,10258325.0,,,153825.25,,18074.7929688,,445021.22512200003,46597.7890625,,,,549964.397047,,,31644.248046900004,,,,,42569.5552858,,,,112895.91406199998,,
1984,,,47952.06754630001,,,,264303.700001,,15635.940429700002,26289.547000000002,,,2481971.0,51681.3099661,,24816.2190256,,2878924.64408,,9897342.0,,,141781.140625,,19455.4140625,,420851.550485,47654.9296875,,,,,,,32775.99609379999,,,,,41699.4998409,,,,118133.421875,,1633.421875
1983,,,46917.3729699,,,,255783.28515399998,,15716.9765625,26182.195,,,,51173.050935,,24214.9866539,,2788990.37367,,9228945.0,,,143418.953125,,18331.4042969,,396891.85681100003,47075.171875,,,,,,,30430.880859400004,,,,,38965.2181675,,,,113543.64843800002,,1736.46032715
1982,,,49313.4662734,,,,248910.0642,,15756.767578100002,26281.183999999997,,,2496956.5,51261.5695075,,24039.448083000003,,2748046.1636099997,,8435294.0,,,139721.5625,,17815.4316406,,384141.289122,44043.0820312,,,,,,,28446.494140599996,,,,,38165.4174705,,,,119151.109375,,1791.1628417999998
1981,,,48923.1023454,,,,243724.70486799997,,15723.737304700002,26054.66,,,,50643.401815900004,,24234.3914799,,2693990.49944,,8078341.5,,,132335.546875,,18377.7070312,,390077.110299,44307.046875,,,,,,,27354.933593799997,,,,,39452.555400599995,,,,126499.9375,,1839.6529540999998
1980,,,48365.7414456,,,,251630.55100799998,,,26148.721,,,2355963.25,49917.463624300006,,24669.807313499998,,2644966.5263099996,,7861819.0,,,132812.390625,489005.8125,19082.0292969,,386149.434163,43023.0820312,,,,527460.109893,,,25783.890625,,,,,39162.4495556,,,,128763.96875,,1698.26525879
1979,,,48004.1207654,,,,256077.425471,,,26113.433999999997,,,,48653.472332599995,,23972.1928801,,2569937.56498,,8468624.0,,,150020.96875,455703.875,18155.3671875,,365963.59370900004,43350.4023438,,,,,,,25170.5351562,,,,,40382.0494146,,,,118955.10156199998,,1568.96557617
1978,,,46850.2427579,,,,251380.27909,,,25427.596,,,2460448.5,48407.0726016,,22576.4922537,,2447496.07534,,8170155.0,,,179230.90625,475046.40625,15903.5947266,,354052.615038,44232.5546875,,,,,,,23974.0898438,,,,,40255.706983599994,,,,116115.28906199998,,1556.46777344
1977,,,47593.6229635,,,,243658.091928,,,24686.938,,,,46482.4907882,,21918.803041599997,,2370762.7105400003,,7568410.5,,,174485.0625,464175.0625,14699.864257799998,,353629.806684,43533.2695312,,,,,,,22719.8632812,,,,,38913.5758982,,,,115639.49218800002,,1630.77490234
