year,United-Arab-Emirates,Argentina,Australia,Bahrain,Brazil,Czech,Denmark,Egypt,Spain,France,United-Kingdom,Ghana,Hungary,India,Iraq,Italy,Jordan,Japan,Kenya,Korea,Kuwait,Lebanon,Mauritius,Malawi,Malaysia,Nigeria,Norway,New-Zeland,Oman,Palestine,Qatar,Russian,Saudi-Arabia,Seychelles,Singapore,Syrian,Thailand,Turkey,Uganda,USA,Uruguay,Middle,Yemen,South,Zambia,Zimbabwe
1976,,,46609.4028659,,,,239829.408025,,,24175.264,,,2237347.0,46261.000132,,21525.286559,,2305786.07517,,6987973.0,,,174559.125,457323.6875,13866.933593799999,,351723.235046,44971.2382812,,,,500264.14577700006,,,22056.4023438,,,,,37794.748456400004,,,,118397.5,,1790.01452637
1975,,,46447.529484800005,,,,224667.13156900002,,,23349.492000000002,,,,40396.095689300004,,20129.9036637,,2246150.10973,,,,,140530.8125,441151.84375,11644.921875,,343519.52186599997,44512.8671875,,,,,,,21585.5605469,,,,,36475.630422300004,,,,123324.453125,,1850.39990234
1974,,,46101.02402119999,,,,228124.809047,,,23792.058999999997,,,2093244.0,40000.705103199994,,20998.2874943,,2185523.13019,,,,,161315.171875,429195.78125,13832.010742200002,,341081.511945,48117.3984375,,,,,,,21366.8632812,,,,,37807.4270371,,,,129719.52343800002,,1891.1427002
1973,,216182.40625,44773.553056900004,,,,242106.20054499997,,,23121.725,,,,44766.4973942,,,,2214730.6599,,,,,110490.875,409154.5625,13498.877929700002,,328123.83931300003,51442.375,,,,,,,20933.6367188,,,,,39019.81648380001,,,,122974.11718800002,,1906.02746582
1972,,205334.4375,44368.626686,,,,231336.11801399998,,,22048.672000000002,,,1946640.375,45174.179215599994,,,,2086476.4094,,,,,115995.39843800002,410424.1875,11705.1621094,,313529.61633600004,50302.03125,,,,439056.96452200005,,,19540.0390625,,,,,37447.5685422,,,,114804.015625,,1915.76647949
1971,,200937.671875,43557.00075369999,,,,222040.46709499997,,12138.4248047,21365.371,,,,44993.5057024,,,,1974548.3474599998,,,,,103476.828125,380465.125,11356.402343799999,,304352.74063,45806.125,,,,,,108366.60156199998,17805.5449219,,,,,36120.281759699996,,,,114178.11718800002,,1823.66638184
1970,,193249.53125,43217.208259,,,,218685.512643,,,20551.211,,,1778468.0,45642.6903394,,,,1914247.0115599998,221386.015625,,,,100014.703125,338780.0625,11024.9873047,,290636.296557,44377.34375,,,,,,95357.8125,16571.994140600003,,,,3131840.5,35936.7832548,,,,111997.625,27639.404296900004,1728.90625
1969,,,41993.4252376,,,,,,,19642.968999999997,,,,44398.4963211,,,,1796874.62126,241454.609375,,,,103713.976562,347295.65625,10973.2363281,,280592.470272,46099.28125,,,,,,88400.6640625,15132.3662109,,,,3196003.75,36811.7976855,,,,110893.11718800002,27121.587890599996,1440.57653809
1968,,,39713.709037,,,,197478.914712,,,18594.773,,,1588003.625,42430.7686177,,,,1648496.12148,229508.609375,,,,101432.8125,336899.59375,10239.4169922,,268267.037498,41966.8984375,,,,389758.892665,,89645.5234375,13806.3056641,,,,3220675.0,36318.95372119999,,,,107897.75,28144.359375,1311.60388184
1967,,,39051.2627926,,,,189988.250503,,,18083.846,,,,42198.8538426,,,,1516608.90991,217912.390625,,,,112840.77343800002,354344.46875,10114.7080078,,263631.814752,42798.5898438,,,,,,83511.9765625,12576.5810547,,,,3266686.0,35265.9495751,,,,105135.15625,28650.71875,1320.34313965
1966,,,37061.0248414,,,,181252.056155,,,17472.33,,,1368689.875,39536.6050893,,,,1414171.88222,216707.109375,,,,110643.02343800002,339025.78125,10794.921875,,254530.127231,45996.3164062,,,,349077.47113200004,,83884.0859375,11576.8173828,,,,3410705.75,34765.4168903,,,,99557.6328125,27168.8671875,1241.69494629
1965,,,36999.0377316,,,,178649.080393,,,16715.07,,,,39850.1350519,,,,1298264.71161,191598.03125,,,,117882.63281199998,306035.46875,10503.8330078,,246373.09201999998,43775.578125,,,,,,73339.625,10735.5986328,,,,3557239.0,33193.2807937,,,,97581.7265625,29850.865234400004,1249.96936035
1964,,,36149.5149971,,,,171350.02771,,,16082.205,,,1306855.0,42416.084236,,,,1284326.70089,192887.53125,,,,117000.02343800002,275792.21875,9675.33105469,,234787.83416,41667.6679688,,,,317951.021998,,75681.71875,10206.8378906,,,,3565505.25,31533.8254954,,,,95484.734375,26114.5292969,1220.35693359
1963,,,34150.9504314,,,,156336.069548,,,15186.055,,,,39913.4308688,,,,1210945.3984100001,187484.375,,,,130077.66406199998,276074.46875,9325.74316406,,228033.483373,40371.0625,,,,,,72322.5234375,10925.7988281,,,,3288621.25,30262.594526599998,,,,90474.1953125,23828.4882812,1268.6184082
1962,,,32515.7957476,,,,157594.310342,,,14598.03,,,1204724.0,38563.04099180001,,,,1163137.85944,174667.65625,,,,116317.21093800002,287649.6875,7816.13085938,,219926.58299,38496.8554688,,,,,,66085.2890625,10111.0625,,,,2875922.0,29247.865759500004,,,,86643.296875,23805.0820312,1222.38061523
1961,,164273.796875,32489.647858999997,,,,150455.989494,,6833.18164062,13711.979,,,1161168.875,38360.8273474,,,,1112993.6740899999,161180.90625,,,,119294.84375,292396.21875,7580.60351562,,217273.229117,38389.125,,,,279578.616157,,61432.8828125,9660.92480469,,,,2703229.75,27825.400680900002,,,,83508.3828125,25292.0039062,1239.19104004
1960,,148335.390625,32053.3010682,,,,142780.757377,,,13142.752,,,1115399.375,37885.3162085,,,,1034716.9875899999,179298.4375,,,,98851.1171875,276099.71875,7852.65087891,,204498.951871,36714.7148438,,,,,,,9124.41113281,,,,2850758.5,27430.4140676,,,,82504.453125,25710.0371094,1197.07971191
1959,,139217.609375,31424.4392727,,,,140670.45005699998,,6171.92822266,12260.195,,8055.21289062,,35923.1601518,,,,956845.33379,175467.15625,,,,95774.0,275695.0,7480.29003906,413371.21875,194408.47355599998,37479.7109375,,,,,,,8611.91113281,,,,2791942.5,26897.0533713,,,,82040.765625,24574.8242188,1174.72888184
1958,,153477.25,30109.1849996,,,,131383.10288800002,,6291.28466797,12038.606000000002,,7214.14355469,871306.0625,35825.4361005,,,,900816.977666,174420.546875,,,,93205.7578125,272246.59375,7160.07666016,403432.125,187304.079458,35262.4296875,,,,,,,9051.65136719,,,,2716300.25,25349.570235799998,,,,79188.8203125,20655.6855469,1145.18029785
1957,,146726.640625,29263.184568,,,,129705.23746199999,,5890.15576172,11812.229,,7607.84765625,867374.9375,33786.8778684,,,,861913.277967,176090.796875,,,,93462.2578125,267993.0,7364.40625,416736.96875,189059.255913,34331.90625,,,,,,,9073.37792969,,,,2760048.25,26033.3649372,,,,79574.84375,22002.2949219,1165.29272461
1956,,141922.046875,29345.089219700003,,,,120601.96440999999,,,11262.096000000001,,7606.86425781,663165.6875,34808.474046300005,,,,809888.432902,173747.625,,,,92541.9375,262486.34375,7607.82080078,406523.1875,184426.503592,33864.19921879999,,,,,,,9029.47460938,,,,2695406.25,26009.796313599996,,,,78094.609375,21678.7363281,1117.16381836
1955,,141002.9375,28945.7464889,,,,120433.65274,,5455.41503906,10815.233999999999,,7416.29833984,779696.625,33265.9532453,,,,781332.388347,167454.859375,,,,91504.1796875,247040.0,7316.66650391,424414.59375,175779.791319,32648.640625,,,,,,52274.828125,9068.39746094,,,,2596161.5,25600.2831,,,,74873.21875,19756.6308594,993.7944335939999
1954,,133839.890625,27851.208229400003,,,,120065.86536099999,,5327.22216797,10324.177,,8257.35449219,,33049.098199299995,,,,725957.90761,158683.28125,,,,91137.3828125,248444.421875,7425.72167969,421447.59375,173234.056614,32680.365234400004,,,,,,,8939.09277344,,,,2492080.25,23905.892600599997,,,,72297.8125,20959.3808594,948.4963989260001
1953,,131165.625,26560.6314803,,,,118553.82610199999,,5098.92431641,9831.249,,7533.30126953,,32216.0134499,,,,709407.9277270001,144188.34375,,,,88434.703125,243643.984375,7087.71435547,398535.5,165604.001713,28814.136718799997,,,,,,,8940.43847656,,,,2600612.75,24387.3634162,,,,69272.65625,20229.5957031,925.9907226560001
1952,,126723.42968800002,26249.1697483,,,,112424.922933,,5145.25292969,9559.4072,,6789.70703125,,30656.3341116,,,,687944.876727,151837.9375,,,,87423.5078125,239087.6875,7186.45947266,,160541.157598,28393.15625,,,,,,,8716.64941406,,,,2552476.25,23643.793667200003,,,,68010.0625,19529.5976562,871.689636231
1951,,137732.65625,26668.9375957,,,,112517.53732999999,,4743.20458984,9327.1836,,7163.44091797,752504.25,30128.6039796,,,,650269.001095,176457.40625,,,,87108.0859375,234463.046875,6959.53515625,,156663.187557,27635.9609375,,,,,,,8520.9140625,,,,2457698.75,23055.670423800002,,,,68199.3828125,18832.7480469,850.0964355469999
1950,,135156.203125,26143.3856173,,,,112978.532624,,4301.73876953,8893.125,,,,,,,,559903.9808659999,145135.46875,,,,84391.1328125,228484.4375,7517.55712891,,149633.75221099998,30825.697265599996,,,,,,,8349.24707031,,,,2641507.5,21598.732265000002,,,,67928.6953125,18109.1796875,819.299011231
1949,,,,,,,,,4297.38671875,8021.9263,,,,,,,,545053.385241,,,,,,,,,,,,,,,,,,,,,,19845.357695299997,,,,68049.34375,,
1948,,,,,,,,,4346.24804688,7477.645,,,,,,,,496540.87001099996,,,,,,,,,,,,,,,,,,,,,,20545.181951900002,,,,67723.6640625,,
1947,,,,,,,,,4407.95214844,6632.1626,,,,,,,,459419.950942,,,,,,,,,,,,,,,,,,,,,,19666.1196485,,,,64612.25390619999,,
1946,,,,,,,,,4418.25878906,6679.9341,,,,,,,,387400.328004,,,,,,,,,,,,,,,,,,,,,,20386.9340662,,,,65832.375,,
1945,,,,,,,,,4297.12939453,5066.063,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23239.4974621,,,,,,
1944,,,,,,,,,4759.07958984,3979.1865,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24116.826476700004,,,,,,
1943,,,,,,,,,4589.79003906,4458.9736,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23356.750344099997,,,,,,
1942,,,,,,,,,4432.859375,5029.124,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20228.476851900003,,,,,,
1941,,,,,,,,,4190.12353516,5238.0098,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17142.6645639,,,,,,
1940,,,,,,,,,4226.84619141,5203.8569,,,,,,,,,,3272236.75,,,,,,,,,,,,,,,,,,,,14473.1196878,,,,,,
1939,,,,,,,,,,7689.3701,,,,,,,,,,2802478.25,,,,,,,,,,,,,,,,,,,,13362.334158399999,,,,,,
1938,,,,,,,,,,6571.1235,,,,,,,,,,3138053.25,,,,,,,,,,,,,,,,,,,,12498.4539234,,,,,,
1937,,,,,,,,,,6448.29,,,,,,,,,,3148748.0,,,,,,,,,,,,,,,,,,,,13500.503229299999,,,,,,
1936,,,,,,,,,,6670.728,,,,,,,,,,2651687.5,,,,,,,,,,,,,,,,,,,,12736.9482716,,,,,,
1935,,,,,,,,,5144.84326172,6104.5435,,,,,,,,,,2652011.25,,,,,,,,,,,,,,,,,,,,11536.236498,,,,,,
1934,,,,,,,,,,5749.4888,,,,,,,,,,2481034.25,,,,,,,,,,,,,,,,,,,,10481.1757544,,,,,,
1933,,,,,,,,,,6005.8389,,,,,,,,,,2506383.75,,,,,,,,,,,,,,,,,,,,9374.25124674,,,,,,
1932,,,,,,,,,,5930.1343,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9683.77518142,,,,,,
1931,,,,,,,,,,6309.7036,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11479.5978097,,,,,,
1930,,,,,,,,,,6770.7163,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12885.4843744,,,,,,
1929,,,,,,,,,,7440.2002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14308.409051800001,,,,,,
1928,,,,,,,,,,7321.7686,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13636.1337588,,,,,,
1927,,,,,,,,,,6670.106,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13490.2546134,,,,,,
1926,,,,,,,,,,6979.4517,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13742.7166065,,,,,,
1925,,,,,,,,,,6910.5967,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13129.6838839,,,,,,
1924,,,,,,,,,,6549.0425,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12897.5694381,,,,,,
1923,,,,,,,,,,6584.2349,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13064.266695999999,,,,,,
1922,,,,,,,,,,6131.1172,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11609.799690200001,,,,,,
1921,,,,,,,,,,5922.3652,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10696.1377585,,,,,,
1920,,,,,,,,,,5864.1094,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11861.1493768,,,,,,
1919,,,,,,,,,,5852.7505,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12124.801695799999,,,,,,
1918,,,,,,,,,,5502.8159,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12795.9865088,,,,,,
1917,,,,,,,,,,6277.7764,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12094.671624600001,,,,,,
1916,,,,,,,,,,6341.1206,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12287.9785199,,,,,,
1915,,,,,,,,,,5598.9839,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10776.672111599999,,,,,,
1914,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10566.629636,,,,,,
1913,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11695.160871799999,,,,,,
1912,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1911,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1910,,,,,,,,,,5627.0684,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1909,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1908,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1907,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1906,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1905,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1904,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1903,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1902,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1901,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1900,,,,,,,,,,5865.5181,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1899,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1898,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1897,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1896,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1895,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1894,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1893,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1892,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1891,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1890,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1889,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1888,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1887,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1877,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1870,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1867,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1857,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1847,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1837,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1827,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1817,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1807,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
