year,CZE,DNK,FIN,FRA,GBR,ITA,JPN,KOR,NLD,NOR,RUS,SGP,TWN,USA
2016,,,,,,,,,,,,,,
2015,,,,205132.08,,,23624398.1189,,,1839850.45537,2384569.5,,,310446.40625
2014,1119288.66465,1577861.35974,130630.065261,205493.81,,,23715490.1384,,206503.912384,1732195.4195400001,2446600.25,349725.4375,,302686.625
2013,1117216.71337,1518426.03978,128698.777511,206265.06,,183513.628205,23318336.1078,104694416.0,202714.176358,1675399.00189,2395503.5,347189.75,,280457.96875
2012,1109685.46003,1472944.3219,125187.39830799999,206382.17,118429.29589600001,188315.922724,22460903.9404,105053832.0,209985.756166,1617765.71495,2281087.75,335128.75,4697967.5,252429.234375
2011,1098080.27657,1485641.34397,125096.348149,205290.27,,192229.694375,22121514.6181,123995488.0,210178.121537,1562622.39514,2229372.0,323052.59375,4525239.5,243856.578125
2010,1056610.36794,1491416.5975,,197692.27,119196.742606,195960.624415,21818746.3402,108043464.0,204901.969862,1575006.82425,2441335.25,303146.3125,4255150.0,240052.5625
2009,1022848.08466,1520322.28602,,191261.53,116689.846999,197251.156592,21502637.0374,,206226.715377,1530502.78006,2466377.75,272868.0625,3854360.5,229244.03125
2008,1023259.79,1647321.91756,,197487.05,110464.399367,202170.720819,22005164.6402,,202534.999078,1422403.24125,2519661.75,272801.375,,256965.59375
2007,966002.949612,1746442.60435,,204117.55,,207265.71911900002,22486642.7266,108000872.0,198525.25453,1577223.63383,2499233.0,254851.0,,297269.78125
2006,922858.6241450001,1641742.53489,,194304.64,125713.779398,203527.499771,22270485.1378,100907872.0,196952.10128,1467889.5272899999,2008464.25,242228.703125,,299134.84375
2005,888114.139784,1387296.21812,,178116.78,123254.09980499999,190684.488094,21416017.1738,80021920.0,193533.8138,1432581.05171,1573131.625,235432.875,,285054.53125
2004,868813.9325040001,1203928.69435,,160759.94,,180102.811615,20933070.1817,88289664.0,189557.16122,1431231.62959,1461130.5,232273.09375,,262413.4375
2003,882827.116572,1107012.2367200002,,145420.52,115943.40444700001,174234.60901500002,20896877.1199,72813976.0,185717.870841,1412694.94303,1337580.625,229797.0625,,236428.6875
2002,868867.834239,1080944.3888299998,,135828.09,109931.197329,169629.65695,20941350.6171,79324360.0,182469.853116,1414078.81064,1181428.375,220277.078125,,230416.484375
2001,862979.122857,1099517.2054299999,,132400.8,106203.992231,168066.682958,21160295.87,73398144.0,180263.102442,1341373.26613,996788.875,224816.671875,,241831.46875
2000,866236.305332,1105729.49116,,128879.48,92848.86216430001,166201.60353599998,21370284.0947,89685680.0,172515.878563,1271629.33949,890741.1875,230493.75,,251472.4375
1999,852321.80204,1041988.85555,,119487.55,86934.08465989999,161234.77134500002,21165848.3577,,158554.24048900002,1301952.25351,875543.0625,225681.296875,,244927.484375
1998,832530.263131,960907.150834,,109144.39,,155833.227271,20870905.0568,,145034.05751400001,1245743.36534,872293.0,215256.9375,,222367.421875
1997,841903.8542930001,891294.930888,,104620.8,73512.5505387,148421.96713900001,20936717.0366,,136158.669807,1142874.95195,839098.125,237159.765625,,202361.828125
1996,835954.879063,825122.1623770001,,101316.93,71638.79782939999,141267.578401,20950867.3185,,,1053294.95817,755456.625,236354.4375,,189784.1875
1995,843250.611517,761036.764601,,98502.67199999999,72475.234574,,20890235.0281,,,987275.522899,648655.375,,,179891.734375
1994,848524.131265,747137.193329,,97532.57800000001,71498.2417167,,20949203.0607,,,900193.979757,519627.71875,,,173520.078125
1993,875116.7272799999,705491.213451,,97591.227,70692.72547539999,,21122391.677,,,791115.976201,509994.5,,,170971.921875
1992,,667080.8409600001,,98205.18800000001,70653.17773119999,,21954263.2691,,,776488.167906,435645.15625,,,168248.09375
1991,,647616.042447,,99333.109,,,23433579.7821,,,795798.5631350001,592802.875,,,164425.78125
1990,,619092.079616,,100254.55,76734.6398954,,24197958.3741,,,827553.038598,680099.0,,,164055.015625
1989,,617174.2630899999,,97701.70300000001,81656.8546509,,22894112.8937,,,911779.759745,,,,163455.78125
1988,,607901.7226770001,,92141.336,78302.29594269999,,20962245.2245,,,1051497.25926,,,,156689.609375
1987,,622838.501595,,89639.43,68332.9893824,,18413731.9478,,,1088208.77488,,,,151671.921875
1986,,703833.817935,,86918.82800000001,57141.790007200005,,15480344.8811,,,993763.14896,,,,145000.59375
1985,,662345.535368,,85062.914,53661.9517444,,14035915.8455,,,830857.6630279999,,,,134234.578125
1984,,574083.424707,,85186.20300000001,53513.7762942,,13389999.4103,,,800634.267116,,,,127048.4375
1983,,532522.56221,,84955.633,47322.9523496,,12987484.7823,,,795822.201235,,,,123758.9375
1982,,439838.397912,,84902.219,42357.485890699994,,12407635.1788,,,774062.053199,,,,121035.4375
1981,,470237.860665,,86358.07800000001,39110.6950321,,11714987.5028,,,717459.294151,,,,120946.1875
1980,,519580.267737,,86638.75,43044.8758797,,10903382.9038,,,661612.774452,,,,120767.53125
1979,,558412.2546710001,,85640.898,40545.8082364,,9845941.78497,,,,,,,116259.203125
1978,,535940.695009,,80873.211,36705.9812682,,8694565.41186,,,,,,,112133.58593800002
1977,,485467.28779300005,,76069.539,32603.289822099996,,8273351.606760001,,,,,,,109947.58593800002
1976,,448350.889271,,73986.984,35448.009500199994,,8087257.4031,,,,,,,107165.921875
1975,,419507.983723,,72422.477,38397.6758832,,8046028.21402,,,,,,,101214.960938
1974,,403980.292043,,71770.078,40716.9237864,,8149065.61307,,,,,,,105686.34375
1973,,429441.519652,,70386.563,49207.1673102,,8634816.558810001,,,,,,,116209.53125
1972,,,,67549.656,46717.0830747,,7502819.92715,,,,,,,114969.4375
1971,,,,64914.082,40131.3068786,,6154542.19905,,,,,,,108271.17968800002
1970,,,,63703.145,38685.5776461,,5461286.274130001,,,,,,,107992.72656199998
1969,,,,,38400.2274625,,,,,,,,,113238.609375
1968,,,,,39691.4457991,,,,,,,,,114221.88281199998
1967,,,,,39224.4578942,,,,,,,,,108549.796875
1966,,,,,37205.708893,,,,,,,,,105991.34375
1965,,,,,37322.9841985,,,,,,,,,105159.992188
1964,,,,,37956.550581300005,,,,,,,,,100543.445312
1963,,,,,36276.535796699995,,,,,,,,,97312.1640625
1962,,,,,33539.5418316,,,,,,,,,95919.6640625
1961,,,,,32918.0172551,,,,,,,,,93044.46875
1960,,,,,31831.5226833,,,,,,,,,89542.9921875
1959,,,,,32906.3717625,,,,,,,,,88088.796875
1958,,,,,30409.340750599997,,,,,,,,,84709.5625
1957,,,,,28440.1816431,,,,,,,,,82720.9609375
1956,,,,,26994.918847900004,,,,,,,,,82898.09375
1955,,,,,27283.491747500004,,,,,,,,,80976.1015625
1954,,,,,27992.0756738,,,,,,,,,77172.421875
1953,,,,,26167.6850705,,,,,,,,,75007.2578125
1952,,,,,29432.0397699,,,,,,,,,74335.4921875
1951,,,,,31096.9786908,,,,,,,,,72347.6953125
1950,,,,,34628.349738599994,,,,,,,,,72287.1484375
1949,,,,,,,,,,,,,,70150.203125
1948,,,,,,,,,,,,,,68496.15625
1947,,,,,,,,,,,,,,68303.359375
1946,,,,,,,,,,,,,,70084.125
1945,,,,,,,,,,,,,,72693.4765625
1944,,,,,,,,,,,,,,64214.64453119999
1943,,,,,,,,,,,,,,57032.77734380001
1942,,,,,,,,,,,,,,53133.2695312
1941,,,,,,,,,,,,,,55441.6875
1940,,,,,,,,,,,,,,59065.99609380001
1939,,,,,,,,,,,,,,59482.33984380001
1938,,,,,41487.7473951,,,,,,,,,57679.6484375
1937,,,,,,,,,,,,,,60468.35546880001
1936,,,,,41358.425068000004,,,,,,,,,63357.03125
1935,,,,,,,,,,,,,,55175.23046880001
1934,,,,,,,,,,,,,,52583.8046875
1933,,,,,,,,,,,,,,51527.96875
1932,,,,,,,,,,,,,,48977.6523438
1931,,,,,,,,,,,,,,54931.98828119999
1930,,,,,36920.3608834,,,,,,,,,63825.625
1929,,,,,33258.6765222,,,,,,,,,69756.828125
1928,,,,,35043.554586800004,,,,,,,,,67246.4765625
1927,,,,,35919.884128800004,,,,,,,,,59019.55078119999
1926,,,,,33500.6358963,,,,,,,,,55232.58203119999
1925,,,,,33032.1932494,,,,,,,,,53514.3515625
1924,,,,,31655.830315400006,,,,,,,,,50771.7460938
1923,,,,,,,,,,,,,,49760.9726562
1922,,,,,,,,,,,,,,49630.8085938
1921,,,,,,,,,,,,,,44200.3242188
1920,,,,,22701.882867099997,,,,,,,,,40492.96875
1919,,,,,,,,,,,,,,46402.8085938
1918,,,,,,,,,,,,,,47173.3671875
1917,,,,,,,,,,,,,,51620.0390625
1916,,,,,,,,,,,,,,60161.91796880001
1915,,,,,,,,,,,,,,58641.7890625
1914,,,,,40516.0899608,,,,,,,,,54922.96484380001
1913,,,,,37915.914428300006,,,,,,,,,54873.12109380001
1912,,,,,37413.981708,,,,,,,,,
1911,,,,,36732.2969459,,,,,,,,,
1910,,,,,,,,,,,,,,
1909,,,,,,,,,,,,,,
1908,,,,,,,,,,,,,,
1907,,,,,,,,,,,,,,
1906,,,,,,,,,,,,,,
1905,,,,,,,,,,,,,,
1904,,,,,,,,,,,,,,
1903,,,,,,,,,,,,,,
1902,,,,,,,,,,,,,,
1901,,,,,,,,,,,,,,
1900,,,,,,,,,,,,,,
1899,,,,,,,,,,,,,,
1898,,,,,,,,,,,,,,
1897,,,,,,,,,,,,,,
1896,,,,,,,,,,,,,,
1895,,,,,,,,,,,,,,
1894,,,,,,,,,,,,,,
1893,,,,,,,,,,,,,,
1892,,,,,,,,,,,,,,
1891,,,,,,,,,,,,,,
1890,,,,,,,,,,,,,,
1889,,,,,,,,,,,,,,
1888,,,,,,,,,,,,,,
1887,,,,,,,,,,,,,,
1877,,,,,,,,,,,,,,
1875,,,,,,,,,,,,,,
1870,,,,,,,,,,,,,,
1867,,,,,,,,,,,,,,
1857,,,,,,,,,,,,,,
1847,,,,,,,,,,,,,,
1837,,,,,,,,,,,,,,
1827,,,,,,,,,,,,,,
1817,,,,,,,,,,,,,,
1807,,,,,,,,,,,,,,
