Variable Name;.;.;.;Consumption of fixed capital of national economy | individuals | Average | All Ages | constant 2015 local currency;Gross domestic product | individuals | Average | All Ages | constant 2015 local currency;Net domestic product | individuals | Average | All Ages | constant 2015 local currency;National income | individuals | Average | All Ages | constant 2015 local currency;Population | individuals | Population | All Ages | population;Consumption of fixed capital of national economy | individuals | Total | All Ages | constant 2015 local currency;Gross domestic product | individuals | Total | All Ages | constant 2015 local currency;Net domestic product | individuals | Total | All Ages | constant 2015 local currency;National income | individuals | Total | All Ages | constant 2015 local currency;National income price index | individuals | Indices | All Ages | constant 2015 local currency;PPP conversion factor, LCU per EUR | individuals | Exchange rates | All Ages | local currency per foreign currency;Market exchange rate, LCU per EUR | individuals | Exchange rates | All Ages | local currency per foreign currency;PPP conversion factor, LCU per USD | individuals | Exchange rates | All Ages | local currency per foreign currency;Market exchange rate, LCU per USD | individuals | Exchange rates | All Ages | local currency per foreign currency;PPP conversion factor, LCU per CNY | individuals | Exchange rates | All Ages | local currency per foreign currency;Market exchange rate, LCU per CNY | individuals | Exchange rates | All Ages | local currency per foreign currency
Variable Category;.;.;.;Average & total income;Average & total income;Average & total income;Average & total income;Other macro;Average & total income;Average & total income;Average & total income;Average & total income;Other macro;Other macro;Other macro;Other macro;Other macro;Other macro;Other macro
Variable Description;.;.;.;Average Consumption of fixed capital of national economy. Consumption of fixed capital of national economy is the decline in total value of fixed assets (e.g. roads, machines) which are owned and used by a producer. In other words, the amounts required to maintain the quality of fixed assets from a year to another. The decline in  value is a result of physical deterioration, normal obsolescence or normal accidental damage.The national economy - in the national accounts sense - includes all domestic sectors, i.e. all entities that are resident of a given country (in the sense of their economic activity), whether they belong to the private sector, the corporate sector, the governement sector. The population is comprised of individuals of all ages.;Average Gross domestic product. Gross domestic product is the total value of goods and services produced by the national economy.The national economy - in the national accounts sense - includes all domestic sectors, i.e. all entities that are resident of a given country (in the sense of their economic activity), whether they belong to the private sector, the corporate sector, the governement sector. The population is comprised of individuals of all ages.;Average Net domestic product. Net domestic product is the total value of the goods and services produced in a country, minus the value of the fixed capital used up in production (e.g. replacement of obsolete machines or maintenance of roads).The national economy - in the national accounts sense - includes all domestic sectors, i.e. all entities that are resident of a given country (in the sense of their economic activity), whether they belong to the private sector, the corporate sector, the governement sector. The population is comprised of individuals of all ages.;Average National income. National income aims to measure the total income available to the residents of a given country. It is equal to the gross domestic product (the total value of goods and services produced on the territory of a given country during a given year), minus fixed capital used in production processes (e.g. replacement of obsolete machines or maintenance of roads) plus the net foreign income earned by residents in the rest of the world.// National income has many limitations, however it is the only income concept that has an internationally agreed definition (established by the United Nations System of National Accounts, see SNA 2008). We thus use it as our reference concept (after corrections to include income hidden in tax havens). // The national economy - in the national accounts sense - includes all domestic sectors, i.e. all entities that are resident of a given country (in the sense of their economic activity), whether they belong to the private sector, the corporate sector, the governement sector. The population is comprised of individuals of all ages.;Number of individuals in a group. The population is comprised of individuals of all ages. The base unit is the individual (rather than the household). This is equivalent to assuming no sharing of resources within couples.;Total Consumption of fixed capital of national economy. Consumption of fixed capital of national economy is the decline in total value of fixed assets (e.g. roads, machines) which are owned and used by a producer. In other words, the amounts required to maintain the quality of fixed assets from a year to another. The decline in  value is a result of physical deterioration, normal obsolescence or normal accidental damage.The national economy - in the national accounts sense - includes all domestic sectors, i.e. all entities that are resident of a given country (in the sense of their economic activity), whether they belong to the private sector, the corporate sector, the governement sector. The population is comprised of individuals of all ages.;Total Gross domestic product. Gross domestic product is the total value of goods and services produced by the national economy.The national economy - in the national accounts sense - includes all domestic sectors, i.e. all entities that are resident of a given country (in the sense of their economic activity), whether they belong to the private sector, the corporate sector, the governement sector. The population is comprised of individuals of all ages.;Total Net domestic product. Net domestic product is the total value of the goods and services produced in a country, minus the value of the fixed capital used up in production (e.g. replacement of obsolete machines or maintenance of roads).The national economy - in the national accounts sense - includes all domestic sectors, i.e. all entities that are resident of a given country (in the sense of their economic activity), whether they belong to the private sector, the corporate sector, the governement sector. The population is comprised of individuals of all ages.;Total National income. National income aims to measure the total income available to the residents of a given country. It is equal to the gross domestic product (the total value of goods and services produced on the territory of a given country during a given year), minus fixed capital used in production processes (e.g. replacement of obsolete machines or maintenance of roads) plus the net foreign income earned by residents in the rest of the world.// National income has many limitations, however it is the only income concept that has an internationally agreed definition (established by the United Nations System of National Accounts, see SNA 2008). We thus use it as our reference concept (after corrections to include income hidden in tax havens). // The national economy - in the national accounts sense - includes all domestic sectors, i.e. all entities that are resident of a given country (in the sense of their economic activity), whether they belong to the private sector, the corporate sector, the governement sector. The population is comprised of individuals of all ages.;Current national income adjusted by CPI, divided by national income of the base year adjusted by CPI. It measures the changes in the purchasing power of national income.;PPP conversion factor of curent local currency to current PPP EUR.;Official exchange rate of the local currency to EUR.;PPP conversion factor of current local currency to current USD.;Official exchange rate of the local currency to USD.;PPP conversion factor of current local currency to current PPP CNY.;Official exchange rate of the local currency to CNY.
Variable Decomposition;.;.;.;;;[Net domestic product]=[Gross domestic product]-[Consumption of fixed capital of national economy];[National income]=[Net domestic product]+[Net foreign income];;;;[Net domestic product]=[Gross domestic product]-[Consumption of fixed capital of national economy];[National income]=[Net domestic product]+[Net foreign income];;;;;;;
Variable Unit;.;.;.;"AUD; Australian dollar | local currency | market";"AUD; Australian dollar | local currency | market";"AUD; Australian dollar | local currency | market";"AUD; Australian dollar | local currency | market";population;"AUD; Australian dollar | local currency | market";"AUD; Australian dollar | local currency | market";"AUD; Australian dollar | local currency | market";"AUD; Australian dollar | local currency | market";;local currency per foreign currency;local currency per foreign currency;local currency per foreign currency;local currency per foreign currency;local currency per foreign currency;local currency per foreign currency
Methodological Notes;.;.;.;From 1970 to 2017, we impute the value of CFC (see methodological note for details).;GDP level in 2015 from the UN SNA main tables. Until 2014, we use the GDP growth rates from the UN SNA main tables.  Between 2016 and 2016, we use the GDP growth rates from the IMF World Economic Outlook. After 2016, we use the GDP growth rates from the IMF World Economic Outlook (forecast).;Calculated as GDP minus CFC. See subcomponents series for additional information.;We assumed zero net foreign income: from 1970 to 2017.;Total 2017 population estimated by extending past year observed population growth rate. Data on other years comes from the UN World Population Prospects (2015);From 1970 to 2017, we impute the value of CFC (see methodological note for details).;GDP level in 2015 from the UN SNA main tables. Until 2014, we use the GDP growth rates from the UN SNA main tables.  Between 2016 and 2016, we use the GDP growth rates from the IMF World Economic Outlook. After 2016, we use the GDP growth rates from the IMF World Economic Outlook (forecast).;Calculated as GDP minus CFC. See subcomponents series for additional information.;We assumed zero net foreign income: from 1970 to 2017.;From 1970 to 2015, we use the GDP deflator from the UN SNA. In 2016, we use the GDP deflator from the IMF World Economic Outlook. In 2017, we use the GDP deflator forecast from the IMF World Economic Outlook.;Using the evolution of the price index relative to the reference country, we extrapolate the PPP from the 2011 ICP.;;Using the evolution of the price index relative to the reference country, we extrapolate the PPP from the 2011 ICP.;;Using the evolution of the price index relative to the reference country, we extrapolate the PPP from the 2011 ICP.;
Sources;.;.;.;WID.world computations;"WID.world computations using:  http://unstats.un.org/unsd/snaama/Introduction.asp (United Nations National Accounts Main Aggregates Database);  http://www.imf.org/external/pubs/ft/weo/2018/01/weodata/index.aspx/ (IMF World Economic Outlook (04/2018));  http://www.imf.org/external/pubs/ft/weo/2018/01/weodata/index.aspx/ (IMF World Economic Outlook (04/2018))";"WID.world computations using:  http://unstats.un.org/unsd/snaama/Introduction.asp (United Nations National Accounts Main Aggregates Database);  http://www.imf.org/external/pubs/ft/weo/2018/01/weodata/index.aspx/ (IMF World Economic Outlook (04/2018));  http://www.imf.org/external/pubs/ft/weo/2018/01/weodata/index.aspx/ (IMF World Economic Outlook (04/2018))";"WID.world computations using:  http://unstats.un.org/unsd/snaama/Introduction.asp (United Nations National Accounts Main Aggregates Database);  https://www.imf.org/external/pubs/ft/weo/2018/01/weodata/index.aspx/ (IMF World Economic Outlook (04/2018));  https://www.imf.org/external/pubs/ft/weo/2018/01/weodata/index.aspx/ (IMF World Economic Outlook (04/2018))";WID.world computations using:  https://esa.un.org/unpd/wpp/ (UN World Population Prospects (2015).);WID.world computations;"WID.world computations using:  http://unstats.un.org/unsd/snaama/Introduction.asp (United Nations National Accounts Main Aggregates Database);  http://www.imf.org/external/pubs/ft/weo/2018/01/weodata/index.aspx/ (IMF World Economic Outlook (04/2018));  http://www.imf.org/external/pubs/ft/weo/2018/01/weodata/index.aspx/ (IMF World Economic Outlook (04/2018))";"WID.world computations using:  http://unstats.un.org/unsd/snaama/Introduction.asp (United Nations National Accounts Main Aggregates Database);  http://www.imf.org/external/pubs/ft/weo/2018/01/weodata/index.aspx/ (IMF World Economic Outlook (04/2018));  http://www.imf.org/external/pubs/ft/weo/2018/01/weodata/index.aspx/ (IMF World Economic Outlook (04/2018))";"WID.world computations using:  http://unstats.un.org/unsd/snaama/Introduction.asp (United Nations National Accounts Main Aggregates Database);  https://www.imf.org/external/pubs/ft/weo/2018/01/weodata/index.aspx/ (IMF World Economic Outlook (04/2018));  https://www.imf.org/external/pubs/ft/weo/2018/01/weodata/index.aspx/ (IMF World Economic Outlook (04/2018))";"WID.world computations using:  http://unstats.un.org/unsd/snaama/Introduction.asp (United Nations National Accounts Main Aggregates Database);  http://www.imf.org/external/pubs/ft/weo/2017/01/weodata/index.aspx (IMF World Economic Outlook (04/2018))";WID.world computations using:  http://data.worldbank.org/ (World Bank);;WID.world computations using:  http://data.worldbank.org/ (World Bank);;WID.world computations using:  http://data.worldbank.org/ (World Bank);
Variable Code;country;year;perc;aconfc999i;agdpro999i;andpro999i;anninc999i;npopul999i;mconfc999i;mgdpro999i;mndpro999i;mnninc999i;inyixx999i;xlceup999i;xlceux999i;xlcusp999i;xlcusx999i;xlcyup999i;xlcyux999i
;NR;2017;p0p100;2143.55371094;14218.7333984;12075.1796875;12075.1796875;11435.0;24511536.0;162591216.0;138079680.0;138079680.0;1.0;0.7885277271;1.4702236652;0.5987859964;1.3048039675;0.1838048846;0.1930432171
;NR;2016;p0p100;1911.72668457;13762.7041016;11850.9775391;11850.9775391;11347.0;21692362.0;156165408.0;134473040.0;134473040.0;0.9653019309;0.7693568468;;0.5884109139;1.3452140093;0.1763482988;
;NR;2015;p0p100;1682.16589355;12561.3242188;10879.1591797;10879.1591797;11260.0;18941188.0;141440512.0;122499328.0;122499328.0;0.9135402441;0.7335890532;;0.5639633536;1.3310902119;0.1658772528;
;NR;2014;p0p100;1456.94836426;11956.2451172;10499.296875;10499.296875;11070.0;16128419.0;132355632.0;116227216.0;116227216.0;0.928614676;0.7564003468;;0.5796127319;1.1093633175;0.1675890386;
;NR;2013;p0p100;1228.21386719;10384.640625;9156.42675781;9156.42675781;10790.0;13252428.0;112050264.0;98797840.0;98797840.0;1.0339872837;0.8497596383;;0.6565262675;1.0358431339;0.1874682009;
;NR;2012;p0p100;1008.3302002;7740.42529297;6732.09472656;6732.09472656;10478.0;10565284.0;81104176.0;70538888.0;70538888.0;1.3662352562;1.1366081238;;0.8816002607;0.9658010602;0.2524961233;
;NR;2011;p0p100;819.249267578;6441.10791016;5621.85839844;5621.85839844;10208.0;8362896.5;65750828.0;57387932.0;57387932.0;1.5188760757;1.2798153162;;0.9987537861;0.9694632292;0.2849075794;
;NR;2010;p0p100;666.940673828;5558.82861328;4891.88769531;4891.88769531;10025.0;6686080.0;55727256.0;49041176.0;49041176.0;1.3582714796;1.1562789679;;0.9124599099;1.0901595354;0.2753479481;
;NR;2009;p0p100;547.708984375;4738.54980469;4190.84082031;4190.84082031;9945.0;5446966.0;47124876.0;41677912.0;41677912.0;1.4607899189;1.2516858578;;0.9970406294;1.2821887732;0.3165975213;
;NR;2008;p0p100;456.712432861;4700.29589844;4243.58349609;4243.58349609;9947.0;4542918.5;46753844.0;42210924.0;42210924.0;1.2734779119;1.1017397642;;0.8792078495;1.1921783686;0.2720548511;
;NR;2007;p0p100;387.693511963;3934.0612793;3546.36791992;3546.36791992;10002.0;3877710.5;39348480.0;35470772.0;35470772.0;0.9803426862;0.8655626178;;0.6905034184;1.1950725317;0.225776881;
;NR;2006;p0p100;344.00982666;2675.91601562;2331.90600586;2331.90600586;10071.0;3464523.0;26949150.0;23484626.0;23484626.0;1.1380701065;1.0295686722;;0.8235943913;1.327973485;0.2818085849;
;NR;2005;p0p100;332.001281738;2955.32128906;2623.32006836;2623.32006836;10114.0;3357861.0;29890120.0;26532258.0;26532258.0;1.1400085688;1.0514980555;;0.8494685292;1.3094732761;0.2918670177;
;NR;2004;p0p100;344.567199707;3534.28662109;3189.71923828;3189.71923828;10126.0;3489087.5;35788184.0;32299098.0;32299098.0;1.0057797432;0.9453992248;;0.7723154426;1.3597525358;0.2684351802;
;NR;2003;p0p100;372.164459228;3856.60961914;3484.4453125;3484.4453125;10106.0;3761094.0;38974896.0;35213804.0;35213804.0;0.9585897326;0.9183672667;;0.7566717267;1.5419142246;0.2728109062;
;NR;2002;p0p100;407.559387207;3948.74121094;3541.18164062;3541.18164062;10080.0;4108198.5;39803312.0;35695112.0;35695112.0;0.9075692892;0.8886551261;;0.7321994901;1.8405624628;0.2672061622;
;NR;2001;p0p100;449.000152588;4166.66796875;3717.66772461;3717.66772461;10052.0;4513349.5;41883344.0;37369996.0;37369996.0;0.858258307;0.8609734774;;0.7047202587;1.9334424734;0.2528184652;
;NR;2000;p0p100;495.83203125;4553.74023438;4057.90844727;4057.90844727;10037.0;4976666.0;45705892.0;40729228.0;40729228.0;0.8124094605;0.8348530531;;0.6838311553;1.7248266935;0.2435991615;
;NR;1999;p0p100;548.011657715;4884.85888672;4336.84716797;4336.84716797;10040.0;5502037.0;49043984.0;43541948.0;43541948.0;0.7702363729;0.8028314114;;0.6636120677;1.5499500036;0.2465760857;
;NR;1998;p0p100;608.380371094;5232.18212891;4623.80175781;4623.80175781;10046.0;6111789.0;52562500.0;46450712.0;46450712.0;0.7257574201;0.7688107491;;0.6351764798;1.5918283463;0.2349918634;
;NR;1997;p0p100;679.793457031;5764.40332031;5084.60986328;5084.60986328;10057.0;6836683.0;57972604.0;51135920.0;51135920.0;0.6888493896;0.7373739481;;0.6107057333;1.3473800421;0.2246528268;
;NR;1996;p0p100;768.425292969;6443.37939453;5674.95361328;5674.95361328;10029.0;7706537.0;64620648.0;56914112.0;56914112.0;0.6560752988;0.7008390427;;0.5929639339;1.2778633833;0.2278428227;
;NR;1995;p0p100;876.638977051;7243.50927734;6366.87011719;6366.87011719;9969.0;8739214.0;72210544.0;63471328.0;63471328.0;0.624186635;0.6842021346;;0.5758399963;1.3490325212;0.2394051552;
;NR;1994;p0p100;1011.3102417;8129.91308594;7118.60253906;7118.60253906;9857.0;9968485.0;80136552.0;70168064.0;70168064.0;0.6064710617;;;0.57105124;1.3677508831;0.2785703242;
;NR;1993;p0p100;1178.60742188;8764.41796875;7585.81103516;7585.81103516;9719.0;11454885.0;85181376.0;73726496.0;73726496.0;0.6122775674;;;0.589165628;1.4705599546;0.3563031256;
;NR;1992;p0p100;1394.9354248;9923.76074219;8528.82519531;8528.82519531;9546.0;13316053.0;94732216.0;81416168.0;81416168.0;0.5922290087;;;0.5842893124;1.3616483212;0.4372908771;
;NR;1991;p0p100;1668.11071777;12056.7832031;10388.6728516;10388.6728516;9348.0;15593499.0;112706816.0;97113312.0;97113312.0;0.5170160532;;;0.5233848095;1.2837557793;0.4181933999;
;NR;1990;p0p100;1978.33898926;14978.7373047;13000.3984375;13000.3984375;9155.0;18111694.0;137130336.0;119018648.0;119018648.0;0.4431755841;;;0.4646864831;1.2810566425;0.3717234135;
;NR;1989;p0p100;2290.32836914;17274.6113281;14984.2841797;14984.2841797;8954.0;20507600.0;154676880.0;134169280.0;134169280.0;0.3902496397;;;0.42556867;1.2645967007;0.3708828986;
;NR;1988;p0p100;2566.56030273;18185.2675781;15618.7070312;15618.7070312;8755.0;22470236.0;159212016.0;136741776.0;136741776.0;0.3542023301;;;0.4022019804;1.2799082994;0.3989758193;
;NR;1987;p0p100;2800.74707031;19152.5839844;16351.8369141;16351.8369141;8554.0;23957590.0;163831200.0;139873616.0;139873616.0;0.3299076259;;;0.388096571;1.4281799793;0.4296168685;
;NR;1986;p0p100;3002.78710938;20179.1289062;17176.3417969;17176.3417969;8353.0;25082280.0;168556256.0;143473984.0;143473984.0;0.3050343692;;;0.3681835234;1.4959741831;0.4249893129;
;NR;1985;p0p100;3180.16503906;21222.3828125;18042.2167969;18042.2167969;8173.0;25991488.0;173450528.0;147459040.0;147459040.0;0.2801611722;;;0.3450937271;1.4318950176;0.411888361;
;NR;1984;p0p100;3350.33984375;22298.5820312;18948.2441406;18948.2441406;8005.0;26819470.0;178500144.0;151680688.0;151680688.0;0.260493964;;;0.3320937157;1.1395192146;0.3919608295;
;NR;1983;p0p100;3520.49633789;23390.1445312;19869.6484375;19869.6484375;7854.0;27649978.0;183706192.0;156056224.0;156056224.0;0.247382462;;;0.3276551962;1.1100150347;0.3674481511;
;NR;1982;p0p100;3697.10253906;24483.7441406;20786.6425781;20786.6425781;7717.0;28530540.0;188941056.0;160410528.0;160410528.0;0.2304147333;;;0.3186558187;0.9858628511;0.3459796011;
;NR;1981;p0p100;3883.2824707;25608.8066406;21725.5234375;21725.5234375;7592.0;29481880.0;194422048.0;164940176.0;164940176.0;0.2076624483;;;0.3047516644;0.8702145815;0.3161459565;
;NR;1980;p0p100;4073.12304688;26720.5390625;22647.4160156;22647.4160156;7488.0;30499546.0;200083392.0;169583856.0;169583856.0;0.1891521662;;;0.3035932481;0.8782443404;0.2920551002;
;NR;1979;p0p100;4267.80029297;27829.4355469;23561.6347656;23561.6347656;7397.0;31568920.0;205854336.0;174285408.0;174285408.0;0.1723772138;;;0.3012971878;0.8946409225;0.2830999792;
;NR;1978;p0p100;4467.52294922;28984.8398438;24517.3144531;24517.3144531;7309.0;32653126.0;211850192.0;179197056.0;179197056.0;0.156951949;;;0.2967869341;0.8736592531;0.270162493;
;NR;1977;p0p100;4656.01416016;30143.8066406;25487.7929688;25487.7929688;7232.0;33672296.0;218000000.0;184327712.0;184327712.0;0.1448045671;;;0.2927120924;0.9018250108;0.2552396059;
;NR;1976;p0p100;4827.34521484;31362.1679688;26534.8222656;26534.8222656;7150.0;34515520.0;224239504.0;189723984.0;189723984.0;0.1309218109;;;0.2806846499;0.8182840943;0.2337618619;
;NR;1975;p0p100;4956.26123047;32648.7636719;27692.5;27692.5;7068.0;35030856.0;230761456.0;195730592.0;195730592.0;0.1160750091;;;0.2624222934;0.7638712525;0.2158647627;
;NR;1974;p0p100;5033.51708984;33161.8203125;28128.3046875;28128.3046875;6972.0;35093680.0;231204224.0;196110544.0;196110544.0;0.1016138643;;;0.2502618134;0.6958576441;0.1912530214;
;NR;1973;p0p100;5056.51269531;32735.0546875;27678.5429688;27678.5429688;6863.0;34702848.0;224660688.0;189957840.0;189957840.0;0.087731123;;;0.2347390801;0.7041139007;0.1664620936;
;NR;1972;p0p100;5041.84179688;32365.8046875;27323.9628906;27323.9628906;6743.0;33997140.0;218242624.0;184245488.0;184245488.0;0.078668803;;;0.2220054269;0.8192005754;0.1521304846;
;NR;1971;p0p100;5007.60449219;32049.578125;27041.9726562;27041.9726562;6617.0;33135318.0;212072064.0;178936736.0;178936736.0;0.0732699633;;;0.2157807201;0.8806078434;0.1420489848;
;NR;1970;p0p100;4962.11230469;31724.0292969;26761.9160156;26761.9160156;6496.0;32233880.0;206079296.0;173845408.0;173845408.0;0.069220826;;;0.214198038;0.8928570151;0.1385403574;
;NR;1969;p0p100;;;;;6371.0;;;;;;;;;0.8928570151;;
;NR;1968;p0p100;;;;;6237.0;;;;;;;;;0.8928570151;;
;NR;1967;p0p100;;;;;6103.0;;;;;;;;;0.8928570151;;
;NR;1966;p0p100;;;;;5933.0;;;;;;;;;0.8928570151;;
;NR;1965;p0p100;;;;;5740.0;;;;;;;;;0.8928570151;;
;NR;1964;p0p100;;;;;5500.0;;;;;;;;;0.8928570151;;
;NR;1963;p0p100;;;;;5228.0;;;;;;;;;0.8928570151;;
;NR;1962;p0p100;;;;;4948.0;;;;;;;;;0.8928570151;;
;NR;1961;p0p100;;;;;4676.0;;;;;;;;;0.8928570151;;
;NR;1960;p0p100;;;;;4433.0;;;;;;;;;0.8928570151;;
;NR;1959;p0p100;;;;;4232.0;;;;;;;;;;;
;NR;1958;p0p100;;;;;4051.0;;;;;;;;;;;
