year,ARE,SGP,USA,MWI,ARG,TUR,KEN,KOR,MUS,HUN,NOR,OMN,KWT,GHA,BRA,JOR,EGY,DNK,AUS,NGA,ESP,MYS,IND,QAT,CZE,GBR,THA,UGA,ZAF,SAU,LBN,ZMB,IRQ,YEM,RUS,SYC,ITA,URY,SYR,JPN,FRA,NZL
1960,77147,6431,27430,497,16065,8776,1743,4718,2785,3993,25359,47,71661,2114,10180,6344,4825,21222,24080,2071,7212,1825,591,14762,11601,37633,4057,838,6466,30596,11116,2324,5080,4289,4588,4590,23288,15378,7669,8548,14576,25603
1961,77147,6809,27825,527,17792,8776,1567,4809,3361,4157,26943,47,71661,2114,10180,6344,4825,22363,24408,2071,7578,1762,598,14762,11601,37633,4057,795,6545,30596,11116,2287,5080,4289,4588,4707,23288,15378,7669,9195,15207,26771
1962,77147,7126,29248,518,18141,8776,1698,4900,3277,4313,27272,47,71661,2114,10180,6344,4825,23424,24428,2071,8166,1816,601,14762,11601,37633,4057,845,6791,30596,11116,2152,5080,4289,4798,5063,23288,15378,7669,9609,16190,26846
1963,77147,7701,30263,497,18489,8776,1823,4992,3665,4496,28277,47,71661,2114,10180,6344,4825,23237,25656,2071,8755,2167,622,14762,11601,37633,4057,967,7091,30596,11116,2154,5080,4289,5008,5541,23288,15378,7669,10004,16842,28153
1964,77147,7194,31534,497,18838,8776,1875,5083,3297,4678,29115,47,71661,2114,10180,6344,4825,25469,27158,2071,9343,2248,661,14762,11601,37633,4057,1048,7484,30596,11116,2361,5080,4289,5218,5798,23288,15378,7669,10610,17836,29057
1965,77147,7567,33193,551,19187,8776,1863,5174,3321,4789,30552,47,71661,2114,10180,6344,4825,26553,27796,2071,9932,2441,621,14762,11601,37633,4057,1046,7648,30596,11116,2699,5080,4289,5473,5619,23288,15378,7669,10726,18538,30527
1966,77147,8160,34765,611,19535,8776,2107,5266,3118,4900,31563,47,71661,2114,10180,6344,4825,26940,27843,2071,10520,2509,616,14762,11601,37633,4057,1003,7803,30596,11116,2456,5080,4289,5728,6427,23288,15378,7669,11683,19378,32076
1967,77147,8864,35266,638,19884,8776,2119,5357,3179,5292,32692,47,71661,2114,10180,6344,4825,28239,29338,2071,11108,2351,658,14762,11601,37633,4057,960,8240,30596,11116,2590,5080,4289,6062,6398,23288,15378,7669,12529,20056,29846
1968,77147,9731,36319,607,20233,8776,2231,5448,2858,5685,33267,47,71661,2114,10180,6344,4825,29352,29835,2071,11697,2380,661,14762,11601,37633,4057,947,8457,30596,11116,2545,5080,4289,6396,6868,23288,15378,7669,13619,20623,29266
1969,77147,10666,36812,626,20581,8776,2347,5539,2922,6026,34795,47,71661,2114,10180,6344,4825,30928,31548,2071,12285,2550,692,14762,11601,37633,4057,940,8691,30596,11116,2452,5080,4289,6598,6773,23288,15378,7669,14845,21785,32148
1970,77147,11680,35937,610,20930,8776,2152,5630,2818,6367,36040,47,71661,2114,10180,6344,4825,32504,32468,2071,12874,2562,711,14762,11601,37633,4057,921,8778,30596,11116,2499,5080,4289,6800,7306,23288,15378,7669,15814,22793,30947
1971,77147,12550,36120,686,21763,8776,2152,5722,2916,6668,37741,47,71661,2114,10180,6344,4825,33003,32723,2071,13462,2639,701,14762,11601,37633,4057,921,8949,30596,11116,2499,5080,4289,7003,8302,23288,15378,7669,16313,23696,31943
1972,77147,13772,37448,740,22239,8776,2152,5813,3268,6969,38879,47,71661,2114,10180,6344,4825,34385,33333,2071,13860,2720,704,14762,11601,37633,4057,921,8998,30596,11116,2499,5080,4289,7205,8302,23288,15378,7669,17237,24453,35079
1973,77147,14754,39020,737,23414,8776,2152,5904,3113,7232,40689,47,71661,2114,10180,6344,4825,35985,33637,2071,14257,3137,698,14762,11601,37633,4057,921,9638,30596,11116,2499,5080,4289,7456,8302,23288,15378,7669,18297,25644,35874
1974,77147,15060,37807,773,23522,8776,2152,5996,4545,7494,42296,47,71661,2114,10180,6344,4825,33907,34634,2071,14655,3214,624,14762,11601,37633,4057,921,10167,30596,11116,2499,5080,4289,7707,8302,23288,15378,7669,18056,26387,33555
1975,77147,15214,36476,795,23629,8776,2152,6087,3960,7752,42598,47,71661,2114,10180,6344,4825,33393,34894,2071,15053,2706,630,14762,11601,37633,4057,921,9666,30596,11116,2499,5080,4289,7958,8302,22325,15378,7669,18556,25896,31041
1976,77147,15546,37795,824,23736,8776,2152,6178,4918,8010,43616,47,71661,2114,10180,6344,4825,35647,35016,2071,15450,3223,721,14762,11601,37633,4057,921,9280,30596,11116,2499,5080,4289,8209,8302,23873,15378,7669,19049,26812,31361
1977,77147,16013,38914,836,23844,8776,2152,6691,4916,8409,43852,47,71661,2114,10180,6344,4825,36216,35755,2071,15848,3416,725,14762,11601,37633,4057,921,9063,30596,11116,2499,5080,4289,8321,8302,24309,15378,7669,19586,27379,30358
1978,77147,16897,40256,856,23952,8776,2152,7223,5050,8808,43904,47,71661,2114,10180,6344,4825,37364,35197,2071,16246,3696,755,14762,11601,37633,4057,921,9101,30596,11116,2499,5080,4289,8432,8302,25039,15378,7669,20220,28201,30846
1979,77147,17741,40382,821,24059,8776,2152,7487,4227,8621,45381,47,71661,2114,10180,6344,4825,38062,36064,2071,16644,4219,758,14762,11601,37633,4057,921,9323,30596,11116,2499,5080,4289,8544,8302,26587,15378,7669,21231,28962,30231
1980,77147,18173,39162,881,24166,8776,2152,6950,3742,8434,47885,47,71661,2114,10180,6344,4825,37401,36335,2071,17041,4434,778,14762,11601,37633,4057,921,10092,30596,11116,2499,5080,4289,8656,8302,27360,15378,7669,21851,29001,30003
1981,77147,19280,39453,881,24274,8776,2152,7142,3729,8686,48372,47,71661,2114,10180,6344,4825,36226,36754,2071,17439,4271,789,14762,11601,37633,4057,921,9915,30596,11116,2499,5080,4289,8730,8302,26878,15378,7669,22256,28896,30898
1982,77147,20050,38165,881,24382,8776,2152,7457,3937,8939,47636,47,71661,2114,10180,6344,4825,36997,37047,2071,17475,4140,799,14762,11601,37633,4057,921,9339,30596,11116,2499,5080,4289,8804,8302,26661,15378,7669,22703,29148,30714
1983,77147,21448,38965,881,24489,8776,2152,8159,4041,8912,49217,47,71661,2114,10180,6344,4825,38018,35247,2071,17431,4260,798,14762,11601,37633,4057,921,8899,30596,11116,2499,5080,4289,8877,8302,26856,15378,7669,23041,29038,32828
1984,77147,23101,41699,881,24596,8776,2152,8750,3995,8885,52188,47,71661,2114,10180,6344,4825,39285,36025,2071,17341,4521,806,14762,11601,37633,4057,921,9259,30596,11116,2499,5080,4289,8951,8302,27523,15378,7669,23784,29157,33233
1985,77147,22304,42570,881,24704,8776,2152,9069,4334,8780,55185,47,71661,2114,10180,6344,4825,40694,37044,2071,17740,4200,842,14762,11601,37633,4057,921,8848,30596,11116,2499,5080,4289,9025,8302,27928,15378,7669,25045,29542,32495
1986,77147,21548,42979,881,24812,8776,2152,9811,5093,8675,56099,47,71661,2114,10180,6344,4825,43075,37526,2071,18408,3652,845,14762,11601,37633,4057,921,8543,30596,11116,2499,5080,4289,9089,8302,28498,15378,7669,25362,30201,32286
1987,77147,22746,44390,881,24919,8776,2152,10830,6043,8953,56119,47,71661,2114,10180,6344,4825,42770,37428,2071,19572,4022,856,14762,11601,37633,4057,921,8665,30596,11116,2499,5080,4289,9152,8302,29224,15378,7669,26066,30764,33455
1988,77147,24860,46300,881,25026,8776,2152,11840,5965,9231,54082,47,71661,2114,10180,6344,4825,41942,38871,2071,20514,4365,892,14762,11601,37633,4057,921,8831,30596,11116,2499,5080,4289,9216,8302,30223,15378,7669,27652,31920,34625
1989,77147,26843,46971,881,25134,8776,2152,12398,6178,8782,54089,47,71661,2114,10180,6344,4825,41838,39398,2071,21619,4676,951,14762,11601,37633,4057,921,8727,30596,11116,2499,5080,4289,9267,8302,30882,15378,7669,28671,32906,33894
1990,77147,28553,47076,881,25242,8776,2152,13173,6118,8332,54944,47,71661,2114,10180,6344,4825,42146,39651,2071,22315,5057,990,14762,11601,37633,4057,921,8448,30596,11116,2499,5080,4289,9018,8302,31021,15378,7669,29898,33456,32636
1991,77147,28987,46248,881,25349,8776,2152,14253,6868,7883,56273,47,71661,2114,10180,6344,4825,42225,38475,2071,22678,5282,971,14762,11601,36839,4057,921,8203,30596,11116,2499,5080,4289,9455,8302,31136,15378,7669,30238,33232,31518
1992,77147,30304,47303,881,25456,8776,2152,14628,7114,7434,58528,47,71661,2114,10180,6344,4825,43377,38141,2071,22664,5396,967,14762,11601,37134,4057,921,7818,30596,11116,2499,5080,4289,7623,8302,30761,15378,7669,29887,33509,31015
1993,77147,31785,47764,881,25564,8776,2152,15233,7226,7305,59589,47,71661,2114,10180,6440,4825,43121,39423,2071,21889,5770,1018,14762,11716,38148,4057,921,7760,30596,11116,2499,5080,4289,6783,8302,30184,15378,7669,29405,32945,32126
1994,77147,35074,49353,881,25672,8776,2152,16326,7368,7552,62885,47,71661,2114,10180,6535,4825,45157,40441,2071,21959,6052,1060,14762,12047,39356,4057,921,7806,30596,11116,2499,5080,4289,5577,8302,30580,15378,7669,29238,33412,33020
1995,77147,35432,50434,881,25779,8824,2152,17227,7472,7825,65713,47,71661,2114,10180,6631,4825,45995,41260,2071,22767,6417,1102,14762,12254,40495,4057,921,7741,30596,11116,2499,5080,4289,4715,8302,31581,15378,7669,29997,33940,33744
1996,77147,36935,52157,881,25886,8872,2152,18099,7662,7590,69293,47,71661,2114,10180,6727,4825,47311,42511,2071,23119,6810,1135,14762,12626,41376,4057,921,7978,30596,11116,2499,5080,4289,5233,8302,31928,15378,7669,30858,34429,34003
1997,77147,39208,54176,881,25994,8920,2152,18657,8009,7875,73073,47,71661,2114,10180,6822,4825,48660,43854,2071,23890,7056,1159,14762,12211,42450,4057,921,7968,30596,11116,2499,5080,4289,5334,8302,32546,15378,7669,30690,35247,34703
1998,77147,36925,56371,881,26525,8968,2152,16704,8155,8183,73925,47,71661,2114,10180,6918,4825,49608,45261,2071,24848,6497,1130,14762,12028,43967,4057,921,7729,30596,11116,2499,5080,4289,4973,8302,32893,15378,7669,29800,36418,34928
1999,73636,38251,58154,881,25073,9015,2152,18519,8198,8273,75494,47,71661,2114,10180,7014,4825,51012,46802,2071,25099,6282,1180,14762,11947,45439,4057,921,7605,30596,11116,2499,5080,4289,5588,8302,33402,15378,7669,29348,37733,35608
2000,70125,40756,60048,881,24469,9063,2152,19942,8615,8733,78561,47,71661,2114,10180,7110,4841,52352,48239,2071,26080,7109,1210,14762,12296,46172,4057,921,7709,30596,11116,2499,5080,4289,6275,8302,34441,15378,7669,29988,38738,35782
2001,66614,38700,59815,881,22898,9111,2152,20384,8903,9164,80918,47,71661,2114,10180,7205,4857,52849,48283,2071,26561,6728,1224,14762,12584,46914,4057,921,7700,30596,11116,2499,5080,4289,6685,8302,34971,15378,7669,29970,38998,37443
2002,63103,38970,59797,881,18822,9159,2152,21729,8927,10007,81557,47,71661,2114,10201,7301,4872,53229,49602,2071,26769,7068,1245,14762,12692,47784,4287,921,7773,30596,11116,2499,5080,4289,7000,8302,34715,15378,7669,29785,38619,38199
2003,59592,39209,60725,881,20669,9410,2152,21928,9435,10581,82449,47,71661,2114,10079,7615,4888,53558,50505,2071,27089,7476,1300,14762,13139,49683,4547,921,7806,30596,11116,2499,5080,4289,7387,8302,34485,15378,7669,30219,38610,39624
2004,56081,41682,62586,881,22308,10165,2152,22734,9885,10934,85588,47,71661,2114,10488,7929,4904,55878,52127,2071,27263,8110,1380,14762,13622,50292,4785,921,8139,30596,11116,2499,5080,4289,8111,8302,34795,15378,7669,31006,39432,40197
2005,52570,43421,64058,881,22308,10870,2152,23221,9950,11246,89010,47,71661,2114,10576,8243,5116,58337,52339,2071,27469,8872,1468,14762,14501,51354,4884,921,8427,30596,11116,2499,5080,4289,8609,8302,34903,15378,7669,31516,39781,40066
2006,49059,45966,65751,881,22308,11392,2152,24212,9872,11551,89783,47,71661,2114,10776,8557,5328,60829,52925,2071,27902,9325,1572,14762,15152,52233,5117,921,8771,30596,11024,2499,5080,4289,9321,8302,35524,15378,7669,32036,40418,40014
2007,45548,48944,65104,881,22308,11712,2152,25338,10469,11096,90462,47,71661,2114,11254,8790,5540,60190,53498,2071,28096,9961,1695,14762,15803,52386,5369,921,8958,30596,12122,2499,5080,4289,10155,8302,35657,15378,7669,32610,41035,41191
2008,42037,48140,63819,881,22308,11517,2152,25382,10715,11031,89467,47,67948,2114,11485,9024,5752,59976,54564,2071,27724,10832,1744,14748,15935,52299,5322,921,9053,30596,12787,2499,5080,4289,10558,8302,34390,15378,7669,31734,40559,40012
2009,38526,45831,61246,881,22308,10544,2152,24938,10514,11031,85463,47,64236,2114,11203,8629,5652,56364,54469,2071,26582,9372,1812,14733,14669,49596,5213,921,8922,30596,13108,2499,5080,4289,9550,8302,32276,15378,7669,29537,38620,40803
2010,38526,52161,63043,881,22308,11395,2152,26661,10186,11031,85646,47,60523,2114,11691,8234,5553,58336,54129,2071,26513,10294,1940,14719,14870,49030,5541,921,9220,30596,13332,2499,5080,4289,9965,8302,32276,16053,7669,31137,39349,40509
2011,38526,54044,64269,881,22308,12198,2152,27214,10434,11031,85350,47,56810,2114,12016,8137,5550,58336,54854,2071,25945,10927,2047,14704,15154,49273,5619,921,9444,30596,13171,2499,5080,4289,10714,8302,32276,16960,7669,31137,39995,41443
2012,38526,54214,65976,881,22308,12158,2152,27478,10434,11031,85350,47,53098,2114,12192,8039,5547,58336,56518,2071,25342,10896,2093,14690,15214,48717,5784,921,9374,30596,12313,2499,5080,4289,11046,8302,32276,16597,7669,31137,39337,41972
2013,38526,55520,66211,881,22308,12360,2152,27788,10434,11031,85350,47,49385,2114,12690,7942,5625,58336,56937,2071,25342,10896,2179,14690,15068,49121,5734,921,9374,30596,11168,2499,5080,4289,11003,8302,32276,16597,7669,31137,39446,43390
2014,38526,55799,67455,881,22308,12459,2152,28137,10434,11031,85350,47,49385,2114,11879,7942,5704,58336,57052,2071,25342,10896,2179,14690,15338,49506,5802,921,9374,30596,10859,2499,5080,4289,11059,8302,32276,16597,7669,31137,39680,44453
2015,38526,55799,67455,881,22308,12608,2152,28559,10434,11031,85350,47,49385,2114,11156,7942,5782,58336,57469,2071,25342,10896,2179,14690,16224,49506,5923,921,9374,30596,10859,2499,5080,4289,10558,8302,32276,16597,7669,31137,39680,44453
2016,38526,55799,67455,881,22308,12733,2152,29158,10434,11031,85350,47,49385,2114,11156,7942,5782,58336,57469,2071,25342,10896,2179,14690,16224,49506,6194,921,9374,30596,10859,2499,5080,4289,10558,8302,32276,16597,7669,31137,39680,44453
