Variable Name;.;.;.;Fiscal income  | individuals | Average | Adults | constant 2015 local currency;Fiscal income  | tax unit | Average | Adults | constant 2015 local currency;Pre-tax national income  | individuals | Average | Adults | constant 2015 local currency;Pre-tax national income  | tax unit | Average | Adults | constant 2015 local currency;Fiscal income  | tax unit | Beta coefficient | Adults | constant 2015 local currency;Pre-tax national income  | tax unit | Beta coefficient | Adults | constant 2015 local currency;Pre-tax national income  | tax unit | Threshold | Adults | constant 2015 local currency;Fiscal income  | individuals | Total | All Ages | constant 2015 local currency;Pre-tax national income  | individuals | Total | All Ages | constant 2015 local currency;Fiscal income  | tax unit | Share | Adults | share of total (ratio);Pre-tax national income  | tax unit | Share | Adults | share of total (ratio);Fiscal income  | tax unit | Threshold | Adults | constant 2015 local currency
;MU;2001;p99.5p100;;2672500.0;;3122653.0;2.0673344135;2.0673344135;1510473.0;;;0.0346563272;0.0346563272;1292727.375
;MU;2000;p0p100;263211.03125;375294.28125;305747.875;435944.625;;;;2.3518380032e+11;2.7319123968e+11;;;
;MU;2000;p90p100;;533273.3125;;619454.1875;;;;;;0.1420947313;0.1420947313;
;MU;2000;p90p95;;269985.1875;;313616.78125;;;;;;0.0359698087;0.0359698087;
;MU;2000;p95p100;;796561.375;;925291.625;;;;;;0.1061249301;0.1061249301;
;MU;1999;p0p100;252283.765625;359258.34375;290955.5625;414327.9375;;;;2.21720608768e+11;2.5570746368e+11;;;
;MU;1999;p95p100;;784964.0625;;905288.6875;;;;;;0.1092478707;0.1092478707;
;MU;1998;p0p100;246636.96875;350764.0625;289415.25;411602.84375;;;;2.1313232896e+11;2.50099351552e+11;;;
;MU;1998;p99p100;;1665902.625;;1954847.375;1.9576580524;1.9576580524;998564.25;;;0.0474934913;0.0474934913;850967.125
;MU;1998;p95p99;;527763.125;;619301.75;;;;;;0.0601844341;0.0601844341;
;MU;1998;p99p99.5;;992191.4375;;1164283.5;;;998564.25;;;0.0141432742;0.0141432742;850967.125
;MU;1998;p95p100;;755390.75;;886410.5625;;;;;;0.1076779217;0.1076779217;
;MU;1998;p99.5p100;;2339613.75;;2745411.25;1.937024951;1.937024951;1417334.0;;;0.0333502181;0.0333502181;1207838.75
;MU;1997;p0p100;247836.265625;352022.1875;284259.0;403756.40625;;;;2.10493784064e+11;2.41428545536e+11;;;
;MU;1997;p99p100;;1583286.875;;1815971.25;1.9087895155;1.9087895155;951373.25;;;0.0449768566;0.0449768566;829471.6875
;MU;1997;p90p100;;508777.9375;;583549.375;;;;;;0.1445300877;0.1445300877;
;MU;1997;p90p95;;283355.5;;324998.21875;;;;;;0.0402468294;0.0402468294;
;MU;1997;p95p99;;521929.0625;;598633.25;;;;;;0.0593064092;0.0593064092;
;MU;1997;p99p99.5;;959657.0625;;1100691.0;;;951373.25;;;0.0136306183;0.0136306183;829471.6875
;MU;1997;p95p100;;734200.375;;842100.5625;;;;;;0.1042832658;0.1042832658;
;MU;1997;p99.5p100;;2206916.75;;2531251.5;1.9198843241;1.9198843241;1318439.625;;;0.0313462391;0.0313462391;1149505.0
;MU;1996;p0p100;235558.453125;334188.46875;271934.28125;385795.09375;;;;1.96510171136e+11;2.26856009728e+11;;;
;MU;1996;p99p100;;1509806.375;;1742956.375;1.8812603951;1.8812605143;926483.25;;;0.0451782458;0.0451782458;802550.4375
;MU;1996;p95p99;;509579.40625;;588270.625;;;;;;0.060993094;0.060993094;
;MU;1996;p99p99.5;;928380.3125;;1071744.25;;;926483.25;;;0.0138900578;0.0138900578;802550.4375
;MU;1996;p95p100;;709624.5625;;819207.4375;;;;;;0.1061713398;0.1061713398;
;MU;1996;p99.5p100;;2091232.375;;2414168.25;1.8826164007;1.8826162815;1282347.5;;;0.031288188;0.031288188;1110811.75
;MU;1995;p0p100;230014.625;325977.5;265186.4375;375823.09375;;;;1.88340355072e+11;2.1713969152e+11;;;
;MU;1995;p99p100;;1506352.375;;1736690.5;1.9170044661;1.9170043468;905939.75;;;0.0462102741;0.0462102741;785784.5
;MU;1995;p90p100;;497838.9375;;573964.0625;;;;;;0.1527218968;0.1527218968;
;MU;1995;p90p95;;298158.3125;;343750.03125;;;;;;0.0457329676;0.0457329676;
;MU;1995;p95p99;;495311.65625;;571050.3125;;;;;;0.0607786626;0.0607786626;
;MU;1995;p99p99.5;;918010.875;;1058385.0;;;905939.75;;;0.0140808793;0.0140808793;785784.5
;MU;1995;p95p100;;697519.5625;;804178.0625;;;;;;0.1069889367;0.1069889367;
;MU;1995;p99.5p100;;2094693.875;;2414996.0;1.9101288319;1.9101288319;1264310.5;;;0.032129392;0.032129392;1096624.375
;MU;1994;p0p100;223501.5;316467.0;261507.171875;370281.125;;;;1.79469697024e+11;2.09987895296e+11;;;
;MU;1994;p99p100;;1484011.25;;1736362.375;1.9098761082;1.9098761082;909149.25;;;0.0468930416;0.0468930416;777019.6875
;MU;1994;p90p100;;489420.59375;;572644.875;;;;;;0.1546514332;0.1546514332;
;MU;1994;p90p95;;288851.65625;;337969.875;;;;;;0.0456369445;0.0456369445;
;MU;1994;p95p99;;491484.375;;575059.625;;;;;;0.0621214435;0.0621214435;
;MU;1994;p99p99.5;;908196.6875;;1062632.375;;;909149.25;;;0.0143489819;0.0143489819;777019.6875
;MU;1994;p95p100;;689989.5;;807319.875;;;;;;0.1090144813;0.1090144813;
;MU;1994;p99.5p100;;2059826.0;;2410092.25;1.9019582272;1.9019581079;1267163.75;;;0.0325440578;0.0325440578;1083002.75
;MU;1993;p0p100;219557.90625;310637.9375;256457.8125;362845.1875;;;;1.72773408768e+11;2.01810509824e+11;;;
;MU;1993;p99p100;;1409369.375;;1646234.375;1.8634324074;1.8634325266;883441.9375;;;0.0453701168;0.0453701168;756329.75
;MU;1993;p90p100;;467017.21875;;545506.25;;;;;;0.1503413618;0.1503413618;
;MU;1993;p90p95;;267340.75;;312271.25;;;;;;0.0430309325;0.0430309325;
;MU;1993;p95p99;;481025.03125;;561868.3125;;;;;;0.0619403124;0.0619403124;
;MU;1993;p99p99.5;;873393.8125;;1020180.375;;;883441.9375;;;0.0140580535;0.0140580535;756329.75
;MU;1993;p95p100;;666693.6875;;778741.25;;;;;;0.1073104292;0.1073104292;
;MU;1993;p99.5p100;;1945344.875;;2272288.5;1.8696165085;1.8696165085;1215376.75;;;0.0313120633;0.0313120633;1040504.75
;MU;1992;p0p100;219934.421875;310868.4375;252492.359375;356887.78125;;;;1.69595830272e+11;1.94701901824e+11;;;
;MU;1991;p0p100;212948.921875;300531.15625;243766.171875;344023.0;;;;1.61052852224e+11;1.84359878656e+11;;;
;MU;1991;p99p100;;1506457.25;;1724466.625;1.8921080828;1.8921080828;911399.625;;;0.0501264445;0.0501264445;796179.25
;MU;1991;p90p100;;490037.34375;;560953.875;;;;;;0.1630571187;0.1630571187;
;MU;1991;p90p95;;274304.96875;;314001.46875;;;;;;0.0456367061;0.0456367061;
;MU;1991;p95p99;;505598.125;;578766.5625;;;;;;0.0672939792;0.0672939792;
;MU;1991;p99p99.5;;938196.0625;;1073968.625;;;911399.625;;;0.0156089505;0.0156089505;796179.25
;MU;1991;p95p100;;705769.6875;;807906.3125;;;;;;0.1174204201;0.1174204201;
;MU;1991;p99.5p100;;2074718.375;;2374964.5;1.9119848013;1.9119848013;1242146.125;;;0.0345174931;0.0345174931;1085112.375
;MU;1990;p0p100;188607.953125;265545.625;217124.875;305695.28125;;;;1.40116475904e+11;1.6130162688e+11;;;
;MU;1990;p99p100;;1309374.5;;1507347.625;1.9544019699;1.9544019699;771257.75;;;0.0493087843;0.0493087843;669961.6875
;MU;1990;p90p100;;413025.65625;;475473.78125;;;;;;0.1555385292;0.1555385292;
;MU;1990;p90p95;;231735.796875;;266773.5;;;;;;0.0436339043;0.0436339043;
;MU;1990;p95p99;;415551.03125;;478381.0;;;;;;0.0625958368;0.0625958368;
;MU;1990;p99p99.5;;793897.6875;;913932.4375;;;771257.75;;;0.0149484091;0.0149484091;669961.6875
;MU;1990;p95p100;;594315.5;;684174.0625;;;;;;0.1119046211;0.1119046211;
;MU;1990;p99.5p100;;1824851.25;;2100762.75;1.9596376419;1.9596376419;1072016.0;;;0.0343603753;0.0343603753;931218.6875
;MU;1989;p0p100;191185.90625;268139.6875;219270.75;307528.875;;;;1.39845025792e+11;1.60388005888e+11;;;
;MU;1989;p99p100;;1275130.625;;1462444.875;1.9168368578;1.916836977;762946.9375;;;0.0475546718;0.0475546718;665226.4375
;MU;1989;p99.9p100;;3799125.25;;4357209.5;1.8850986958;1.8850986958;2311396.0;;;0.0141682746;0.0141682746;2015345.5
;MU;1989;p90p100;;411484.25;;471930.5;;;;;;0.1534589529;0.1534589529;
;MU;1989;p90p95;;231664.125;;265695.15625;;;;;;0.0431984179;0.0431984179;
;MU;1989;p95p99;;420348.0625;;482096.40625;;;;;;0.0627058744;0.0627058744;
;MU;1989;p99.5p99.9;;1295251.75;;1485521.75;;;1060726.125;;;0.0193220861;0.0193220861;924865.125
;MU;1989;p99p99.5;;754240.6875;;865037.25;;;762946.9375;;;0.014064312;0.014064312;665226.4375
;MU;1989;p95p100;;591304.375;;678165.875;;;;;;0.1102605462;0.1102605462;
;MU;1989;p99.5p100;;1796020.5;;2059852.5;1.941926837;1.941926837;1060726.125;;;0.0334903598;0.0334903598;924865.125
;MU;1988;p0p100;182554.984375;254836.078125;211685.0;295499.875;;;;1.3168603136e+11;1.52698978304e+11;;;
;MU;1988;p99p100;;1078839.125;;1250987.875;1.8156647682;1.8156650066;688997.0625;;;0.0423345901;0.0423345901;594184.0625
;MU;1988;p99.9p100;;3061447.75;;3549958.5;1.7999616861;1.7999616861;1972241.125;;;0.0120132463;0.0120132463;1700840.5
;MU;1988;p90p100;;400599.75;;464522.84375;;;;;;0.1571990401;0.1571990401;
;MU;1988;p90p95;;243290.84375;;282112.40625;;;;;;0.0477347858;0.0477347858;
;MU;1988;p95p99;;427676.25;;495919.90625;;;;;;0.0671296641;0.0671296641;
;MU;1988;p99.5p99.9;;1115007.25;;1292927.25;;;941875.5;;;0.0175015964;0.0175015964;812263.8125
;MU;1988;p99.9p99.95;;2013417.75;;2334695.75;;;1972241.125;;;0.0039501311;0.0039501311;1700840.5
;MU;1988;p99p99.5;;653387.5;;757647.5625;;;688997.0625;;;0.0128197484;0.0128197484;594184.0625
;MU;1988;p95p100;;557908.6875;;646933.3125;;;;;;0.1094642505;0.1094642505;
;MU;1988;p99.5p100;;1504290.75;;1744328.125;1.8519730568;1.851973176;941875.5;;;0.0295148417;0.0295148417;812263.8125
;MU;1988;p99.95p100;;4109353.0;;4765076.0;;;;;;0.0080631152;0.0080631152;
;MU;1987;p0p100;181793.46875;252439.078125;214464.1875;297805.75;;;;1.29454047232e+11;1.52718671872e+11;;;
;MU;1987;p99p100;;1241563.0;;1464688.375;1.8607465029;1.8607465029;787151.0;;;0.0491826311;0.0491826311;667239.1875
;MU;1987;p99.9p100;;3634029.75;;4287113.5;1.8482353687;1.8482352495;2319571.25;;;0.0143954847;0.0143954847;1966215.875
;MU;1987;p90p100;;415133.46875;;489738.5;;;;;;0.1644490063;0.1644490063;
;MU;1987;p90p95;;234465.328125;;276601.875;;;;;;0.0464399941;0.0464399941;
;MU;1987;p95p99;;434361.5;;512422.0625;;;;;;0.0688263848;0.0688263848;
;MU;1987;p99.5p99.9;;1267013.75;;1494713.0;;;1085752.75;;;0.0200763904;0.0200763904;920353.0
;MU;1987;p99.9p99.95;;2329784.0;;2748477.25;;;2319571.25;;;0.0046142126;0.0046142126;1966215.875
;MU;1987;p99p99.5;;742714.6875;;876190.4375;;;787151.0;;;0.014710757;0.014710757;667239.1875
;MU;1987;p95p100;;595801.625;;702875.125;;;;;;0.1180090159;0.1180090159;
;MU;1987;p99.5p100;;1740411.25;;2053186.375;1.8910257816;1.8910257816;1085752.75;;;0.0344718732;0.0344718732;920353.0
;MU;1987;p99.95p100;;4938120.0;;5825566.0;;;;;;0.0097812722;0.0097812722;
;MU;1986;p0p100;155671.40625;214984.65625;180768.640625;249644.328125;;;;1.09440729088e+11;1.27084691456e+11;;;
;MU;1986;p99p100;;1064248.625;;1235826.125;1.7428575754;1.7428575754;709080.375;;;0.049503427;0.049503427;610634.3125
;MU;1986;p99.9p100;;2677794.25;;3109506.5;1.637342453;1.637342453;1899118.0;;;0.0124555863;0.0124555863;1635451.625
;MU;1986;p95p99;;374884.8125;;435323.5;;;;;;0.0697510317;0.0697510317;
;MU;1986;p99.5p99.9;;1105140.375;;1283310.375;;;953159.125;;;0.0205622613;0.0205622613;820826.125
;MU;1986;p99.9p99.95;;1831903.375;;2127241.5;;;1899118.0;;;0.0042602359;0.0042602359;1635451.625
;MU;1986;p99p99.5;;708829.875;;823106.9375;;;709080.375;;;0.0164855774;0.0164855774;610634.3125
;MU;1986;p95p100;;512757.4375;;595423.8125;;;;;;0.119254455;0.119254455;
;MU;1986;p99.5p100;;1419667.5;;1648545.25;1.7295593023;1.7295593023;953159.125;;;0.0330178477;0.0330178477;820826.125
;MU;1986;p99.95p100;;3523584.5;;4091654.5;;;;;;0.0081953509;0.0081953509;
;MU;1985;p0p100;131021.476562;179964.671875;153825.25;211286.828125;;;;90881081344.0;1.06698571776e+11;;;
;MU;1985;p99p100;;895288.0;;1051109.375;1.7351938486;1.7351938486;605759.0625;;;0.0497479402;0.0497479402;515958.5
;MU;1985;p99.9p100;;1972951.875;;2316336.5;1.4896739721;1.4896739721;1554928.5;;;0.0109628541;0.0109628541;1324418.625
;MU;1985;p95p99;;341554.15625;;401000.3125;;;;;;0.0759158581;0.0759158581;
;MU;1985;p99.5p99.9;;938618.625;;1101981.5;;;853786.25;;;0.0208623298;0.0208623298;727217.0
;MU;1985;p99.9p99.95;;1494910.625;;1755094.0;;;1554928.5;;;0.0041530435;0.0041530435;1324418.625
;MU;1985;p99p99.5;;645093.1875;;757369.125;;;605759.0625;;;0.0179227553;0.0179227553;515958.5
;MU;1985;p95p100;;452300.78125;;531021.9375;;;;;;0.125663802;0.125663802;
;MU;1985;p99.5p100;;1145482.875;;1344849.625;1.5751595497;1.5751596689;853786.25;;;0.0318251848;0.0318251848;727217.0
;MU;1985;p99.95p100;;2450936.25;;2877512.0;;;;;;0.0068098106;0.0068098106;
;MU;1984;p0p100;118107.976562;161365.640625;141781.140625;193709.21875;;;;80768024576.0;96956891136.0;;;
;MU;1984;p99p100;;805603.5;;967075.875;1.6623543501;1.6623543501;581750.75;;;0.0499240533;0.0499240533;484615.96875
;MU;1984;p99.9p100;;1648516.5;;1978939.5;1.4380396605;1.4380395412;1376137.125;;;0.0102158999;0.0102158999;1146363.75
;MU;1984;p95p99;;320423.09375;;384647.625;;;;;;0.079427883;0.079427883;
;MU;1984;p99.5p99.9;;839230.625;;1007443.125;;;819821.875;;;0.0208032466;0.0208032466;682936.4375
;MU;1984;p99.9p99.95;;1362407.625;;1635484.0;;;1376137.125;;;0.004221186;0.004221186;1146363.75
;MU;1984;p99p99.5;;610121.0625;;732411.6875;;;581750.75;;;0.0189049076;0.0189049076;484615.96875
;MU;1984;p95p100;;417459.0625;;501133.125;;;;;;0.1293519288;0.1293519288;
;MU;1984;p99.5p100;;1001085.875;;1201740.125;1.4658551216;1.4658551216;819821.875;;;0.0310191456;0.0310191456;682936.4375
;MU;1984;p99.95p100;;1934591.25;;2322354.25;;;;;;0.0059947139;0.0059947139;
;MU;1983;p0p100;115631.960938;157150.84375;143418.953125;194915.046875;;;;77905649664.0;96626802688.0;;;
;MU;1983;p99p100;;847776.9375;;1051502.375;1.6418991089;1.6418991089;640418.375;;;0.0539466441;0.0539466441;516339.25
;MU;1983;p99.9p100;;1761004.875;;2184183.75;1.472170949;1.4721710682;1483648.125;;;0.0112056797;0.0112056797;1196195.875
;MU;1983;p90p100;;315901.84375;;391814.78125;;;;;;0.2010182589;0.2010182589;
;MU;1983;p90p95;;185272.796875;;229794.84375;;;;;;0.0589474477;0.0589474477;
;MU;1983;p95p99;;346219.53125;;429417.96875;;;;;;0.0881241709;0.0881241709;
;MU;1983;p99.5p99.9;;871200.5;;1080554.75;;;899578.9375;;;0.0221749283;0.0221749283;725288.25
;MU;1983;p99.9p99.95;;1417123.625;;1757666.25;;;1483648.125;;;0.0045084734;0.0045084734;1196195.875
;MU;1983;p99p99.5;;646394.625;;801726.75;;;640418.375;;;0.0205660351;0.0205660351;516339.25
;MU;1983;p95p100;;446530.90625;;553834.6875;;;;;;0.142070815;0.142070815;
;MU;1983;p99.5p100;;1049159.25;;1301277.875;1.4465410709;1.4465410709;899578.9375;;;0.033380609;0.033380609;725288.25
;MU;1983;p99.95p100;;2104845.0;;2610650.75;;;;;;0.0066972058;0.0066972058;
;MU;1982;p0p100;110870.96875;150330.5625;139721.5625;189449.25;;;;73188589568.0;92233555968.0;;;
;MU;1982;p99p100;;871206.875;;1097910.375;1.6640040874;1.6640042067;659800.25;;;0.0579526871;0.0579526871;523560.53125
;MU;1982;p99.9p100;;1851635.625;;2333464.0;1.5059263706;1.5059262514;1549520.75;;;0.0123169348;0.0123169348;1229565.875
;MU;1982;p90p100;;314901.65625;;396844.65625;;;;;;0.20947285;0.20947285;
;MU;1982;p90p95;;177968.140625;;224278.625;;;;;;0.0591922849;0.0591922849;
;MU;1982;p95p99;;346992.375;;437285.9375;;;;;;0.0923278779;0.0923278779;
;MU;1982;p99.5p99.9;;886750.0625;;1117498.125;;;941022.4375;;;0.0235947184;0.0235947184;746714.125
;MU;1982;p99.9p99.95;;1464280.375;;1845312.125;;;1549520.75;;;0.004869849;0.004869849;1229565.875
;MU;1982;p99p99.5;;662688.875;;835132.25;;;659800.25;;;0.022041034;0.022041034;523560.53125
;MU;1982;p95p100;;451835.15625;;569410.6875;;;;;;0.150280565;0.150280565;
;MU;1982;p99.5p100;;1079724.875;;1360688.5;1.4459681511;1.4459681511;941022.4375;;;0.0359116532;0.0359116532;746714.125
;MU;1982;p99.95p100;;2238944.75;;2821557.75;;;;;;0.0074470858;0.0074470858;
;MU;1981;p0p100;108278.5625;146507.34375;132335.546875;179057.875;;;;69940256768.0;85479366656.0;;;
;MU;1981;p99p100;;915261.8125;;1118611.75;1.7037035227;1.7037036419;656576.5;;;0.0624720156;0.0624720156;537218.9375
;MU;1981;p99.9p100;;1988580.0;;2430396.5;1.5210831165;1.5210832357;1597806.375;;;0.0135730701;0.0135730701;1307344.75
;MU;1981;p90p100;;318268.5;;388980.40625;;;;;;0.2172372788;0.2172372788;
;MU;1981;p90p95;;174618.359375;;213414.515625;;;;;;0.0595937334;0.0595937334;
;MU;1981;p95p99;;348583.03125;;426030.125;;;;;;0.0951715335;0.0951715335;
;MU;1981;p99.5p99.9;;936848.0625;;1144994.0;;;952435.0625;;;0.0255782381;0.0255782381;779294.0
;MU;1981;p99.9p99.95;;1564274.5;;1911820.0;;;1597806.375;;;0.0053381659;0.0053381659;1307344.75
;MU;1981;p99p99.5;;683331.6875;;835152.125;;;656576.5;;;0.0233207084;0.0233207084;537218.9375
;MU;1981;p95p100;;461918.65625;;564546.3125;;;;;;0.1576435417;0.1576435417;
;MU;1981;p99.5p100;;1147191.875;;1402071.375;1.4720913172;1.4720913172;952435.0625;;;0.0391513072;0.0391513072;779294.0
;MU;1981;p99.95p100;;2412835.0;;2948911.0;;;;;;0.0082349032;0.0082349032;
;MU;1980;p0p100;109569.390625;147982.8125;132812.390625;179374.46875;;;;69147926528.0;83816300544.0;;;
;MU;1980;p99p100;;994448.375;;1205401.125;1.7358586788;1.7358586788;694412.0;;;0.0672001988;0.0672001988;572885.5625
;MU;1980;p99.9p100;;2256557.25;;2735241.75;1.5678019524;1.5678019524;1744634.75;;;0.0152485836;0.0152485836;1439312.75
;MU;1980;p90p100;;318875.625;;386518.84375;;;;;;0.2154815793;0.2154815793;
;MU;1980;p90p95;;152036.5;;184288.0625;;;;;;0.0513696633;0.0513696633;
;MU;1980;p95p99;;358531.53125;;434586.96875;;;;;;0.0969117209;0.0969117209;
;MU;1980;p99.5p99.9;;1014039.0625;;1229147.625;;;1019971.3125;;;0.0274097025;0.0274097025;841469.9375
;MU;1980;p99.9p99.95;;1724339.5;;2090124.375;;;1744634.75;;;0.0058257258;0.0058257258;1439312.75
;MU;1980;p99p99.5;;726356.9375;;880439.3125;;;694412.0;;;0.0245419145;0.0245419145;572885.5625
;MU;1980;p95p100;;485714.71875;;588749.625;;;;;;0.1641119272;0.1641119272;
;MU;1980;p99.5p100;;1262539.75;;1530362.875;1.5003979206;1.5003979206;1019971.3125;;;0.0426582843;0.0426582843;841469.9375
;MU;1980;p99.95p100;;2788711.5;;3380282.25;;;;;;0.0094228582;0.0094228582;
;MU;1979;p0p100;121522.9375;163883.4375;150020.96875;202315.328125;;;;74795909120.0;92336103424.0;;;
;MU;1979;p99p100;;1120546.375;;1383322.75;1.7301533222;1.7301533222;799537.6875;;;0.0683745295;0.0683745295;647657.25
;MU;1979;p99.9p100;;2575794.25;;3179837.0;1.5687590837;1.5687590837;2026976.125;;;0.0157170314;0.0157170314;1641931.0
;MU;1979;p95p99;;389087.625;;480331.5625;;;;;;0.0949669704;0.0949669704;
;MU;1979;p99.5p99.9;;1157324.375;;1428725.5;;;1077501.375;;;0.0282475576;0.0282475576;872818.8125
;MU;1979;p99.9p99.95;;1884713.875;;2326693.25;;;2026976.125;;;0.005749749;0.005749749;1641931.0
;MU;1979;p99p99.5;;800077.6875;;987701.875;;;799537.6875;;;0.0244099386;0.0244099386;647657.25
;MU;1979;p95p100;;535379.1875;;660929.625;;;;;;0.1633414924;0.1633414924;
;MU;1979;p99.5p100;;1441015.0;;1778943.625;1.6509897709;1.6509896517;1077501.375;;;0.0439645872;0.0439645872;872818.8125
;MU;1979;p99.95p100;;3266792.25;;4032879.25;;;;;;0.0099672815;0.0099672815;
;MU;1978;p0p100;147995.28125;199348.03125;179230.90625;241422.078125;;;;88683364352.0;1.07400716288e+11;;;
;MU;1978;p99p100;;1348753.375;;1633418.875;1.6693720818;1.6693720818;978463.0625;;;0.0676581562;0.0676581562;807940.5625
;MU;1978;p99.9p100;;2818908.75;;3413862.5;1.4444181919;1.4444181919;2363486.25;;;0.0141404569;0.0141404569;1951587.75
;MU;1978;p95p99;;459326.59375;;556271.25;;;;;;0.0921658054;0.0921658054;
;MU;1978;p99.5p99.9;;1447839.625;;1753418.0;;;1295540.75;;;0.0290515535;0.0290515535;1069759.375
;MU;1978;p99.9p99.95;;1994549.75;;2415515.75;;;2363486.25;;;0.0050023193;0.0050023193;1951587.75
;MU;1978;p99p99.5;;975456.6875;;1181334.75;;;978463.0625;;;0.0244661476;0.0244661476;807940.5625
;MU;1978;p95p100;;637211.75;;771700.5;;;;;;0.159823969;0.159823969;
;MU;1978;p99.5p100;;1722050.125;;2085503.0;1.6097546816;1.6097548008;1295540.75;;;0.0431920104;0.0431920104;1069759.375
;MU;1978;p99.95p100;;3643169.5;;4412090.5;;;;;;0.009138138;0.009138138;
;MU;1977;p0p100;139259.921875;187376.0;174485.0625;234771.859375;;;;81149550592.0;1.01675941888e+11;;;
;MU;1977;p99p100;;1400901.75;;1755253.25;1.6808878183;1.6808878183;1044241.75;;;0.07476414;0.07476414;833429.6875
;MU;1977;p99.9p100;;2902978.75;;3637273.5;1.4250326157;1.4250324965;2552414.25;;;0.0154926004;0.0154926004;2037131.375
;MU;1977;p95p99;;457752.75;;573539.125;;;;;;0.0977186039;0.0977186039;
;MU;1977;p99.5p99.9;;1517664.625;;1901550.625;;;1384434.75;;;0.0323983356;0.0323983356;1104944.375
;MU;1977;p99.9p99.95;;2040491.5;;2556624.25;;;2552414.25;;;0.0054445169;0.0054445169;2037131.375
;MU;1977;p99p99.5;;1007079.5;;1261815.5;;;1044241.75;;;0.0268731993;0.0268731993;833429.6875
;MU;1977;p95p100;;646382.375;;809881.6875;;;;;;0.1724827439;0.1724827439;
;MU;1977;p99.5p100;;1794724.125;;2248691.0;1.6242665052;1.6242665052;1384434.75;;;0.0478909388;0.0478909388;1104944.375
;MU;1977;p99.95p100;;3765363.0;;4717794.0;;;;;;0.010048083;0.010048083;
;MU;1976;p0p100;137657.296875;184973.453125;174559.125;234559.328125;;;;77982031872.0;98886696960.0;;;
;MU;1976;p99p100;;1533584.0;;1944692.375;1.7582764626;1.7582763433;1106022.0;;;0.0829082578;0.0829082578;872208.6875
;MU;1976;p99.9p100;;3669465.75;;4653140.5;1.591186285;1.591186285;2924321.75;;;0.0198375415;0.0198375415;2306119.5
;MU;1976;p95p99;;455368.625;;577439.4375;;;;;;0.0984722674;0.0984722674;
;MU;1976;p99.5p99.9;;1616285.75;;2049563.875;;;1491535.875;;;0.0349518061;0.0349518061;1176224.875
;MU;1976;p99.9p99.95;;2359950.25;;2992582.75;;;2924321.75;;;0.0063786972;0.0063786972;2306119.5
;MU;1976;p99p99.5;;1040251.25;;1319111.75;;;1106022.0;;;0.0281189065;0.0281189065;872208.6875
;MU;1976;p95p100;;671011.4375;;850889.6875;;;;;;0.1813805252;0.1813805252;
;MU;1976;p99.5p100;;2026916.875;;2570273.0;1.7232391834;1.7232391834;1491535.875;;;0.0547893457;0.0547893457;1176224.875
;MU;1976;p99.95p100;;4978825.0;;6313500.5;;;;;;0.0134588452;0.0134588452;
;MU;1975;p0p100;123575.898438;165751.28125;140530.8125;188492.765625;;;;68080189440.0;77420953600.0;;;
;MU;1975;p99p100;;1677141.625;;1907249.5;2.1586341858;2.1586341858;883544.625;;;0.1011841297;0.1011841297;776945.75
;MU;1975;p99.9p100;;5516361.0;;6273219.0;2.1436197758;2.1436200142;2926460.5;;;0.0332805254;0.0332805254;2573385.75
;MU;1975;p99.5p99.9;;1604969.5;;1825175.25;;;1324841.375;;;0.0387320705;0.0387320705;1165000.5
;MU;1975;p99.9p99.95;;2889932.0;;3286437.75;;;2926460.5;;;0.0087170443;0.0087170443;2573385.75
;MU;1975;p99p99.5;;967044.8125;;1099725.75;;;883544.625;;;0.0291715339;0.0291715339;776945.75
;MU;1975;p99.5p100;;2387238.5;;2714773.5;2.0491309166;2.0491309166;1324841.375;;;0.0720125958;0.0720125958;1165000.5
;MU;1975;p99.95p100;;8142476.5;;9259644.0;;;;;;0.0245634802;0.0245634802;
;MU;1974;p0p100;119618.046875;160060.796875;161315.171875;215855.6875;;;;64126279680.0;86479773696.0;;;
